SiteName,Laramie River WY
SiteLongitude,-104.8500
SiteLatitude,42.1000
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,2.514e+15
2005-02-01,2005-02-28,2.44e+15
2005-03-01,2005-03-31,1.91e+15
2005-04-01,2005-04-30,2.047e+15
2005-05-01,2005-05-31,1.826e+15
2005-06-01,2005-06-30,2.063e+15
2005-07-01,2005-07-31,1.99e+15
2005-08-01,2005-08-31,2.042e+15
2005-09-01,2005-09-30,2.152e+15
2005-10-01,2005-10-31,2.813e+15
2005-11-01,2005-11-30,2.353e+15
2005-12-01,2005-12-31,1.903e+15
2006-01-01,2006-01-31,1.816e+15
2006-02-01,2006-02-28,1.317e+15
2006-03-01,2006-03-31,2.225e+15
2006-04-01,2006-04-30,2.274e+15
2006-05-01,2006-05-31,1.837e+15
2006-06-01,2006-06-30,2.423e+15
2006-07-01,2006-07-31,2.798e+15
2006-08-01,2006-08-31,2.112e+15
2006-09-01,2006-09-30,2.049e+15
2006-10-01,2006-10-31,2.845e+15
2006-11-01,2006-11-30,3.091e+15
2006-12-01,2006-12-31,1.786e+15
2007-01-01,2007-01-31,1.295e+15
2007-02-01,2007-02-28,2.34e+15
2007-03-01,2007-03-31,1.659e+15
2007-04-01,2007-04-30,2.081e+15
2007-05-01,2007-05-31,1.927e+15
2007-06-01,2007-06-30,1.888e+15
2007-07-01,2007-07-31,2.502e+15
2007-08-01,2007-08-31,2.397e+15
2007-09-01,2007-09-30,2.133e+15
2007-10-01,2007-10-31,2.221e+15
2007-11-01,2007-11-30,2.184e+15
2007-12-01,2007-12-31,1.207e+15
2008-01-01,2008-01-31,1.224e+15
2008-02-01,2008-02-29,1.83e+15
2008-03-01,2008-03-31,2.076e+15
2008-04-01,2008-04-30,1.773e+15
2008-05-01,2008-05-31,1.905e+15
2008-06-01,2008-06-30,1.959e+15
2008-07-01,2008-07-31,2e+15
2008-08-01,2008-08-31,2.005e+15
2008-09-01,2008-09-30,2.436e+15
2008-10-01,2008-10-31,2.214e+15
2008-11-01,2008-11-30,2.262e+15
2008-12-01,2008-12-31,1.55e+15
2009-01-01,2009-01-31,1.345e+15
2009-02-01,2009-02-28,2.182e+15
2009-03-01,2009-03-31,1.532e+15
2009-04-01,2009-04-30,1.036e+15
2009-05-01,2009-05-31,1.859e+15
2009-06-01,2009-06-30,1.499e+15
2009-07-01,2009-07-31,1.477e+15
2009-08-01,2009-08-31,1.775e+15
2009-09-01,2009-09-30,1.702e+15
2009-10-01,2009-10-31,2.265e+15
2009-11-01,2009-11-30,2.284e+15
2009-12-01,2009-12-31,1.207e+15
2010-01-01,2010-01-31,2.296e+15
2010-02-01,2010-02-28,2.198e+15
2010-03-01,2010-03-31,1.555e+15
2010-04-01,2010-04-30,1.644e+15
2010-05-01,2010-05-31,1.373e+15
2010-06-01,2010-06-30,1.599e+15
2010-07-01,2010-07-31,1.643e+15
2010-08-01,2010-08-31,1.601e+15
2010-09-01,2010-09-30,1.315e+15
2010-10-01,2010-10-31,2.571e+15
2010-11-01,2010-11-30,1.504e+15
2010-12-01,2010-12-31,1.041e+15
2011-01-01,2011-01-31,1.412e+15
2011-02-01,2011-02-28,1.255e+15
2011-03-01,2011-03-31,1.502e+15
2011-04-01,2011-04-30,1.547e+15
2011-05-01,2011-05-31,1.466e+15
2011-06-01,2011-06-30,1.536e+15
2011-07-01,2011-07-31,1.393e+15
2011-08-01,2011-08-31,1.518e+15
2011-09-01,2011-09-30,1.793e+15
2011-10-01,2011-10-31,2.602e+15
2011-11-01,2011-11-30,1.64e+15
2011-12-01,2011-12-31,1.671e+15
2012-01-01,2012-01-31,1.533e+15
2012-02-01,2012-02-29,1.479e+15
2012-03-01,2012-03-31,1.453e+15
2012-04-01,2012-04-30,1.604e+15
2012-05-01,2012-05-31,1.566e+15
2012-06-01,2012-06-30,1.47e+15
2012-07-01,2012-07-31,1.819e+15
2012-08-01,2012-08-31,1.97e+15
2012-09-01,2012-09-30,1.586e+15
2012-10-01,2012-10-31,1.896e+15
2012-11-01,2012-11-30,1.959e+15
2012-12-01,2012-12-31,1.279e+15
2013-01-01,2013-01-31,2.009e+15
2013-02-01,2013-02-28,2.213e+15
2013-03-01,2013-03-31,1.41e+15
2013-04-01,2013-04-30,1.286e+15
2013-05-01,2013-05-31,1.743e+15
2013-06-01,2013-06-30,1.526e+15
2013-07-01,2013-07-31,1.877e+15
2013-08-01,2013-08-31,1.942e+15
2013-09-01,2013-09-30,2.023e+15
2013-10-01,2013-10-31,2.342e+15
2013-11-01,2013-11-30,1.698e+15
2013-12-01,2013-12-31,2.068e+15
2014-01-01,2014-01-31,7.796e+14
2014-02-01,2014-02-28,1.306e+15
2014-03-01,2014-03-31,1.093e+15
2014-04-01,2014-04-30,1.758e+15
2014-05-01,2014-05-31,1.308e+15
2014-06-01,2014-06-30,1.708e+15
2014-07-01,2014-07-31,1.499e+15
2014-08-01,2014-08-31,1.873e+15
2014-09-01,2014-09-30,1.508e+15
2014-10-01,2014-10-31,1.843e+15
2014-11-01,2014-11-30,1.787e+15
2014-12-01,2014-12-31,1.596e+15
2015-01-01,2015-01-31,1.703e+15
2015-02-01,2015-02-28,1.504e+15
2015-03-01,2015-03-31,1.63e+15
2015-04-01,2015-04-30,1.581e+15
2015-05-01,2015-05-31,1.502e+15
2015-06-01,2015-06-30,1.6e+15
2015-07-01,2015-07-31,1.399e+15
2015-08-01,2015-08-31,1.724e+15
2015-09-01,2015-09-30,1.509e+15
2015-10-01,2015-10-31,1.742e+15
2015-11-01,2015-11-30,1.888e+15
2015-12-01,2015-12-31,1.279e+15
