SiteName,Leland Olds ND
ShortName,Leland Olds
SiteLongitude,-101.3500
SiteLatitude,47.4000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,2.899e+15,0.001623,2.372e+17
2005-02-01,2005-02-28,2.12e+15,0.001652,2.556e+17
2005-03-01,2005-03-31,2.35e+15,0.001592,2.63e+17
2005-04-01,2005-04-30,2.445e+15,0.001467,2.362e+17
2005-05-01,2005-05-31,3.325e+15,0.001487,2.238e+17
2005-06-01,2005-06-30,2.741e+15,0.001557,2.22e+17
2005-07-01,2005-07-31,2.396e+15,0.001603,2.295e+17
2005-08-01,2005-08-31,2.39e+15,0.001695,2.408e+17
2005-09-01,2005-09-30,2.47e+15,0.001639,2.526e+17
2005-10-01,2005-10-31,3.185e+15,0.001665,2.778e+17
2005-11-01,2005-11-30,1.71e+15,0.001555,2.786e+17
2005-12-01,2005-12-31,1.059e+15,0.001733,2.681e+17
2006-01-01,2006-01-31,1.806e+15,0.001783,2.606e+17
2006-02-01,2006-02-28,1.581e+15,0.001557,2.587e+17
2006-03-01,2006-03-31,1.931e+15,0.001518,2.615e+17
2006-04-01,2006-04-30,2.38e+15,0.00156,2.434e+17
2006-05-01,2006-05-31,2.73e+15,0.0015,2.265e+17
2006-06-01,2006-06-30,2.804e+15,0.001557,2.277e+17
2006-07-01,2006-07-31,2.24e+15,0.001586,2.307e+17
2006-08-01,2006-08-31,2.741e+15,0.00169,2.448e+17
2006-09-01,2006-09-30,3.023e+15,0.00164,2.495e+17
2006-10-01,2006-10-31,3.162e+15,0.001601,2.695e+17
2006-11-01,2006-11-30,1.92e+15,0.001591,2.88e+17
2006-12-01,2006-12-31,1.989e+15,0.001599,2.62e+17
2007-01-01,2007-01-31,1.566e+15,0.001855,2.769e+17
2007-02-01,2007-02-28,1.321e+15,0.00166,2.666e+17
2007-03-01,2007-03-31,2.015e+15,0.00165,2.818e+17
2007-04-01,2007-04-30,2.395e+15,0.001502,2.471e+17
2007-05-01,2007-05-31,2.846e+15,0.00148,2.271e+17
2007-06-01,2007-06-30,2.521e+15,0.001595,2.265e+17
2007-07-01,2007-07-31,2.022e+15,0.00161,2.311e+17
2007-08-01,2007-08-31,2.4e+15,0.001717,2.424e+17
2007-09-01,2007-09-30,2.337e+15,0.00168,2.551e+17
2007-10-01,2007-10-31,2.109e+15,0.001693,2.775e+17
2007-11-01,2007-11-30,1.528e+15,0.001691,2.739e+17
2007-12-01,2007-12-31,1.351e+15,0.001671,2.776e+17
2008-01-01,2008-01-31,1.263e+15,0.001852,2.697e+17
2008-02-01,2008-02-29,2.082e+15,0.001685,2.553e+17
2008-03-01,2008-03-31,2.774e+15,0.001541,2.651e+17
2008-04-01,2008-04-30,2.288e+15,0.001528,2.399e+17
2008-05-01,2008-05-31,2.224e+15,0.00147,2.256e+17
2008-06-01,2008-06-30,3.012e+15,0.001579,2.299e+17
2008-07-01,2008-07-31,2.246e+15,0.001617,2.323e+17
2008-08-01,2008-08-31,2.331e+15,0.001699,2.407e+17
2008-09-01,2008-09-30,2.668e+15,0.001584,2.467e+17
2008-10-01,2008-10-31,2.671e+15,0.001588,2.64e+17
2008-11-01,2008-11-30,1.895e+15,0.001574,2.708e+17
2008-12-01,2008-12-31,9.697e+14,0.001679,2.852e+17
2009-01-01,2009-01-31,1.119e+15,0.001623,2.474e+17
2009-02-01,2009-02-28,6.347e+14,0.001539,2.464e+17
2009-03-01,2009-03-31,1.143e+15,0.001493,2.432e+17
2009-04-01,2009-04-30,1.919e+15,0.001552,2.542e+17
2009-05-01,2009-05-31,2.805e+15,0.001518,2.378e+17
2009-06-01,2009-06-30,2.758e+15,0.001606,2.331e+17
2009-07-01,2009-07-31,1.977e+15,0.001646,2.342e+17
2009-08-01,2009-08-31,2.355e+15,0.00172,2.473e+17
2009-09-01,2009-09-30,2.757e+15,0.00162,2.454e+17
2009-10-01,2009-10-31,3.019e+15,0.001738,2.735e+17
2009-11-01,2009-11-30,2.194e+15,0.001561,2.731e+17
2009-12-01,2009-12-31,2.147e+15,0.001584,2.411e+17
2010-01-01,2010-01-31,1.418e+15,0.001733,2.529e+17
2010-02-01,2010-02-28,2.652e+14,0.001633,2.595e+17
2010-03-01,2010-03-31,2.206e+15,0.001502,2.521e+17
2010-04-01,2010-04-30,2.897e+15,0.00161,2.552e+17
2010-05-01,2010-05-31,2.294e+15,0.001554,2.394e+17
