SiteName,Marshall NC
ShortName,Marshall
SiteLongitude,-80.9500
SiteLatitude,35.6000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,7.916e+15,0.001312,2.418e+17
2005-02-01,2005-02-28,8.647e+15,0.001248,2.335e+17
2005-03-01,2005-03-31,7.746e+15,0.001282,2.402e+17
2005-04-01,2005-04-30,9.544e+15,0.001311,2.331e+17
2005-05-01,2005-05-31,5.299e+15,0.00132,2.356e+17
2005-06-01,2005-06-30,5.723e+15,0.001378,2.359e+17
2005-07-01,2005-07-31,6.016e+15,0.001442,2.516e+17
2005-08-01,2005-08-31,6.743e+15,0.001486,2.571e+17
2005-09-01,2005-09-30,6.104e+15,0.001372,2.553e+17
2005-10-01,2005-10-31,7.658e+15,0.001313,2.551e+17
2005-11-01,2005-11-30,7.925e+15,0.001248,2.549e+17
2005-12-01,2005-12-31,9.601e+15,0.001302,2.441e+17
2006-01-01,2006-01-31,8.075e+15,0.001304,2.366e+17
2006-02-01,2006-02-28,8.912e+15,0.001313,2.284e+17
2006-03-01,2006-03-31,6.396e+15,0.00137,2.469e+17
2006-04-01,2006-04-30,8.162e+15,0.001392,2.477e+17
2006-05-01,2006-05-31,5.298e+15,0.001354,2.403e+17
2006-06-01,2006-06-30,6.156e+15,0.001402,2.398e+17
2006-07-01,2006-07-31,4.805e+15,0.001455,2.477e+17
2006-08-01,2006-08-31,6.367e+15,0.001478,2.601e+17
2006-09-01,2006-09-30,6.03e+15,0.001361,2.561e+17
2006-10-01,2006-10-31,6.592e+15,0.00131,2.556e+17
2006-11-01,2006-11-30,7.438e+15,0.001291,2.631e+17
2006-12-01,2006-12-31,8.392e+15,0.001232,2.499e+17
2007-01-01,2007-01-31,6.312e+15,0.001341,2.567e+17
2007-02-01,2007-02-28,7.797e+15,0.00132,2.401e+17
2007-03-01,2007-03-31,5.748e+15,0.001336,2.578e+17
2007-04-01,2007-04-30,6.26e+15,0.001345,2.467e+17
2007-05-01,2007-05-31,6.059e+15,0.001338,2.355e+17
2007-06-01,2007-06-30,6.343e+15,0.001414,2.418e+17
2007-07-01,2007-07-31,5.447e+15,0.001448,2.556e+17
2007-08-01,2007-08-31,6.17e+15,0.001462,2.6e+17
2007-09-01,2007-09-30,6.434e+15,0.001364,2.561e+17
2007-10-01,2007-10-31,6.305e+15,0.001347,2.567e+17
2007-11-01,2007-11-30,7.876e+15,0.001299,2.636e+17
2007-12-01,2007-12-31,7.332e+15,0.001283,2.52e+17
2008-01-01,2008-01-31,5.931e+15,0.001388,2.489e+17
2008-02-01,2008-02-29,5.63e+15,0.001341,2.43e+17
2008-03-01,2008-03-31,5.548e+15,0.001277,2.338e+17
2008-04-01,2008-04-30,7.489e+15,0.00135,2.383e+17
2008-05-01,2008-05-31,4.021e+15,0.001339,2.382e+17
2008-06-01,2008-06-30,4.644e+15,0.001412,2.426e+17
2008-07-01,2008-07-31,5.204e+15,0.001457,2.516e+17
2008-08-01,2008-08-31,5.026e+15,0.001439,2.571e+17
2008-09-01,2008-09-30,4.81e+15,0.001403,2.543e+17
2008-10-01,2008-10-31,4.23e+15,0.001317,2.488e+17
2008-11-01,2008-11-30,5.362e+15,0.001336,2.63e+17
2008-12-01,2008-12-31,6.252e+15,0.00126,2.458e+17
2009-01-01,2009-01-31,7.101e+15,0.001323,2.348e+17
2009-02-01,2009-02-28,5.476e+15,0.001279,2.325e+17
2009-03-01,2009-03-31,4.892e+15,0.001389,2.489e+17
2009-04-01,2009-04-30,4.738e+15,0.0014,2.435e+17
2009-05-01,2009-05-31,4.962e+15,0.001381,2.443e+17
2009-06-01,2009-06-30,5.121e+15,0.001456,2.498e+17
2009-07-01,2009-07-31,3.809e+15,0.001467,2.521e+17
2009-08-01,2009-08-31,4.806e+15,0.001482,2.602e+17
2009-09-01,2009-09-30,5.371e+15,0.001452,2.641e+17
2009-10-01,2009-10-31,4.242e+15,0.001291,2.517e+17
2009-11-01,2009-11-30,5.017e+15,0.001305,2.486e+17
2009-12-01,2009-12-31,7.605e+15,0.001364,2.406e+17
2010-01-01,2010-01-31,4.721e+15,0.00133,2.285e+17
2010-02-01,2010-02-28,4.635e+15,0.001284,2.403e+17
2010-03-01,2010-03-31,5.505e+15,0.001365,2.558e+17
2010-04-01,2010-04-30,5.414e+15,0.001429,2.602e+17
2010-05-01,2010-05-31,4.345e+15,0.001457,2.518e+17
2010-06-01,2010-06-30,4.142e+15,0.001522,2.516e+17
2010-07-01,2010-07-31,4.671e+15,0.001555,2.62e+17
2010-08-01,2010-08-31,5.509e+15,0.001586,2.757e+17
2010-09-01,2010-09-30,5.007e+15,0.001472,2.649e+17
2010-10-01,2010-10-31,4.742e+15,0.001359,2.534e+17
2010-11-01,2010-11-30,3.743e+15,0.001499,2.607e+17
2010-12-01,2010-12-31,7.352e+15,0.001405,2.409e+17
2011-01-01,2011-01-31,6.084e+15,0.00139,2.502e+17
2011-02-01,2011-02-28,4.401e+15,0.001421,2.352e+17
2011-03-01,2011-03-31,5.92e+15,0.001444,2.697e+17
2011-04-01,2011-04-30,4.242e+15,0.001381,2.552e+17
2011-05-01,2011-05-31,4.58e+15,0.001459,2.466e+17
2011-06-01,2011-06-30,4.642e+15,0.001501,2.52e+17
2011-07-01,2011-07-31,4.53e+15,0.001581,2.629e+17
2011-08-01,2011-08-31,5.402e+15,0.00158,2.716e+17
2011-09-01,2011-09-30,6.408e+15,0.001445,2.698e+17
2011-10-01,2011-10-31,4.26e+15,0.001408,2.696e+17
2011-11-01,2011-11-30,5.414e+15,0.001386,2.496e+17
2011-12-01,2011-12-31,7.368e+15,0.001352,2.359e+17
2012-01-01,2012-01-31,4.111e+15,0.001382,2.511e+17
2012-02-01,2012-02-29,4.235e+15,0.001372,2.356e+17
2012-03-01,2012-03-31,5.235e+15,0.001317,2.453e+17
2012-04-01,2012-04-30,5.264e+15,0.001372,2.52e+17
2012-05-01,2012-05-31,5.636e+15,0.001424,2.481e+17
2012-06-01,2012-06-30,5.378e+15,0.001516,2.553e+17
2012-07-01,2012-07-31,5.357e+15,0.001623,2.626e+17
2012-08-01,2012-08-31,6.127e+15,0.001614,2.759e+17
2012-09-01,2012-09-30,6.027e+15,0.001516,2.782e+17
2012-10-01,2012-10-31,5.41e+15,0.001367,2.705e+17
2012-11-01,2012-11-30,6.005e+15,0.001369,2.512e+17
2012-12-01,2012-12-31,5.273e+15,0.001461,2.399e+17
2013-01-01,2013-01-31,7.576e+15,0.001527,2.473e+17
2013-02-01,2013-02-28,5.022e+15,0.001534,2.494e+17
2013-03-01,2013-03-31,6.322e+15,0.001544,2.733e+17
2013-04-01,2013-04-30,4.711e+15,0.0015,2.629e+17
2013-05-01,2013-05-31,4.059e+15,0.001503,2.535e+17
2013-06-01,2013-06-30,4.261e+15,0.00151,2.597e+17
2013-07-01,2013-07-31,4.11e+15,0.001598,2.687e+17
2013-08-01,2013-08-31,4.494e+15,0.001591,2.754e+17
2013-09-01,2013-09-30,5.31e+15,0.001572,2.721e+17
2013-10-01,2013-10-31,4.656e+15,0.001401,2.764e+17
2013-11-01,2013-11-30,5.53e+15,0.001298,2.613e+17
