SiteName,Navajo Generating Station AZ
SiteLongitude,-111.3500
SiteLatitude,36.9000
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,3.112e+15
2005-02-01,2005-02-28,2.808e+15
2005-03-01,2005-03-31,1.892e+15
2005-04-01,2005-04-30,3.104e+15
2005-05-01,2005-05-31,3.618e+15
2005-06-01,2005-06-30,2.512e+15
2005-07-01,2005-07-31,4.056e+15
2005-08-01,2005-08-31,3.608e+15
2005-09-01,2005-09-30,3.489e+15
2005-10-01,2005-10-31,3.38e+15
2005-11-01,2005-11-30,2.929e+15
2005-12-01,2005-12-31,3.337e+15
2006-01-01,2006-01-31,2.572e+15
2006-02-01,2006-02-28,2.835e+15
2006-03-01,2006-03-31,2.573e+15
2006-04-01,2006-04-30,3.219e+15
2006-05-01,2006-05-31,3.437e+15
2006-06-01,2006-06-30,2.955e+15
2006-07-01,2006-07-31,4.295e+15
2006-08-01,2006-08-31,3.047e+15
2006-09-01,2006-09-30,3.353e+15
2006-10-01,2006-10-31,3.425e+15
2006-11-01,2006-11-30,3.157e+15
2006-12-01,2006-12-31,2.993e+15
2007-01-01,2007-01-31,2.729e+15
2007-02-01,2007-02-28,2.337e+15
2007-03-01,2007-03-31,2.808e+15
2007-04-01,2007-04-30,3.392e+15
2007-05-01,2007-05-31,3.219e+15
2007-06-01,2007-06-30,3.816e+15
2007-07-01,2007-07-31,4.205e+15
2007-08-01,2007-08-31,4.255e+15
2007-09-01,2007-09-30,3.439e+15
2007-10-01,2007-10-31,3.933e+15
2007-11-01,2007-11-30,3.43e+15
2007-12-01,2007-12-31,3.114e+15
2008-01-01,2008-01-31,2.688e+15
2008-02-01,2008-02-29,1.573e+15
2008-03-01,2008-03-31,2.627e+15
2008-04-01,2008-04-30,2.459e+15
2008-05-01,2008-05-31,2.848e+15
2008-06-01,2008-06-30,3.276e+15
2008-07-01,2008-07-31,4.255e+15
2008-08-01,2008-08-31,3.319e+15
2008-09-01,2008-09-30,3.185e+15
2008-10-01,2008-10-31,4.026e+15
2008-11-01,2008-11-30,2.664e+15
2008-12-01,2008-12-31,2.682e+15
2009-01-01,2009-01-31,2.356e+15
2009-02-01,2009-02-28,2.424e+15
2009-03-01,2009-03-31,2.7e+15
2009-04-01,2009-04-30,2.31e+15
2009-05-01,2009-05-31,3.152e+15
2009-06-01,2009-06-30,3.321e+15
2009-07-01,2009-07-31,3.144e+15
2009-08-01,2009-08-31,3.11e+15
2009-09-01,2009-09-30,3.333e+15
2009-10-01,2009-10-31,2.447e+15
2009-11-01,2009-11-30,2.825e+15
2009-12-01,2009-12-31,2.256e+15
2010-01-01,2010-01-31,1.597e+15
2010-02-01,2010-02-28,1.101e+15
2010-03-01,2010-03-31,1.843e+15
2010-04-01,2010-04-30,2.323e+15
2010-05-01,2010-05-31,2.285e+15
2010-06-01,2010-06-30,1.96e+15
2010-07-01,2010-07-31,1.954e+15
2010-08-01,2010-08-31,2.261e+15
2010-09-01,2010-09-30,2.198e+15
2010-10-01,2010-10-31,2.279e+15
2010-11-01,2010-11-30,2.555e+15
2010-12-01,2010-12-31,2.226e+15
2011-01-01,2011-01-31,2.625e+15
2011-02-01,2011-02-28,1.722e+15
