SiteName,Navajo Generating Station AZ
ShortName,Navajo
SiteLongitude,-111.3500
SiteLatitude,36.9000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,3.112e+15,0.003601,2.484e+17
2005-02-01,2005-02-28,2.808e+15,0.003704,2.56e+17
2005-03-01,2005-03-31,1.892e+15,0.003308,2.46e+17
2005-04-01,2005-04-30,3.104e+15,0.003436,2.353e+17
2005-05-01,2005-05-31,3.618e+15,0.003587,2.315e+17
2005-06-01,2005-06-30,2.512e+15,0.003373,2.324e+17
2005-07-01,2005-07-31,4.056e+15,0.003744,2.455e+17
2005-08-01,2005-08-31,3.608e+15,0.003749,2.533e+17
2005-09-01,2005-09-30,3.489e+15,0.003181,2.546e+17
2005-10-01,2005-10-31,3.38e+15,0.003342,2.626e+17
2005-11-01,2005-11-30,2.929e+15,0.003028,2.553e+17
2005-12-01,2005-12-31,3.337e+15,0.003338,2.529e+17
2006-01-01,2006-01-31,2.572e+15,0.003336,2.48e+17
2006-02-01,2006-02-28,2.835e+15,0.003184,2.387e+17
2006-03-01,2006-03-31,2.573e+15,0.01385,2.482e+17
2006-04-01,2006-04-30,3.219e+15,0.003528,2.412e+17
2006-05-01,2006-05-31,3.437e+15,0.003462,2.341e+17
2006-06-01,2006-06-30,2.955e+15,0.003435,2.362e+17
2006-07-01,2006-07-31,4.295e+15,0.004245,2.442e+17
2006-08-01,2006-08-31,3.047e+15,0.003519,2.505e+17
2006-09-01,2006-09-30,3.353e+15,0.003446,2.486e+17
2006-10-01,2006-10-31,3.425e+15,0.003381,2.645e+17
2006-11-01,2006-11-30,3.157e+15,0.003111,2.701e+17
2006-12-01,2006-12-31,2.993e+15,0.003608,2.652e+17
2007-01-01,2007-01-31,2.729e+15,0.003422,2.608e+17
2007-02-01,2007-02-28,2.337e+15,0.003141,2.562e+17
2007-03-01,2007-03-31,2.808e+15,0.003221,2.691e+17
2007-04-01,2007-04-30,3.392e+15,0.003236,2.495e+17
2007-05-01,2007-05-31,3.219e+15,0.003373,2.351e+17
2007-06-01,2007-06-30,3.816e+15,0.003172,2.349e+17
2007-07-01,2007-07-31,4.205e+15,0.003427,2.481e+17
2007-08-01,2007-08-31,4.255e+15,0.004146,2.551e+17
2007-09-01,2007-09-30,3.439e+15,0.003861,2.593e+17
2007-10-01,2007-10-31,3.933e+15,0.003528,2.657e+17
2007-11-01,2007-11-30,3.43e+15,0.003591,2.646e+17
2007-12-01,2007-12-31,3.114e+15,0.00311,2.595e+17
2008-01-01,2008-01-31,2.688e+15,0.005267,2.688e+17
2008-02-01,2008-02-29,1.573e+15,0.00345,2.568e+17
2008-03-01,2008-03-31,2.627e+15,0.003503,2.383e+17
2008-04-01,2008-04-30,2.459e+15,0.003416,2.369e+17
2008-05-01,2008-05-31,2.848e+15,0.003481,2.38e+17
2008-06-01,2008-06-30,3.276e+15,0.01002,2.392e+17
2008-07-01,2008-07-31,4.255e+15,0.003388,2.456e+17
