SiteName,Seminole FL
ShortName,Seminol
SiteLongitude,-81.5500
SiteLatitude,29.8000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.471e+15,0.001146,2.343e+17
2005-02-01,2005-02-28,6.227e+15,0.001107,2.259e+17
2005-03-01,2005-03-31,5.774e+15,0.001168,2.357e+17
2005-04-01,2005-04-30,4.62e+15,0.001184,2.407e+17
2005-05-01,2005-05-31,5.983e+15,0.001201,2.404e+17
2005-06-01,2005-06-30,4.761e+15,0.001265,2.468e+17
2005-07-01,2005-07-31,4.951e+15,0.00131,2.633e+17
2005-08-01,2005-08-31,6.916e+15,0.001267,2.597e+17
2005-09-01,2005-09-30,4.57e+15,0.001193,2.532e+17
2005-10-01,2005-10-31,5.652e+15,0.001178,2.465e+17
2005-11-01,2005-11-30,5.332e+15,0.001139,2.396e+17
2005-12-01,2005-12-31,6.77e+15,0.001162,2.391e+17
2006-01-01,2006-01-31,5.075e+15,0.001144,2.329e+17
2006-02-01,2006-02-28,6.374e+15,0.001183,2.259e+17
2006-03-01,2006-03-31,5.24e+15,0.001234,2.425e+17
2006-04-01,2006-04-30,4.8e+15,0.001231,2.448e+17
2006-05-01,2006-05-31,5.27e+15,0.001229,2.453e+17
2006-06-01,2006-06-30,5.365e+15,0.001296,2.486e+17
2006-07-01,2006-07-31,5.505e+15,0.001298,2.504e+17
2006-08-01,2006-08-31,6.201e+15,0.001313,2.598e+17
2006-09-01,2006-09-30,5.737e+15,0.0012,2.506e+17
2006-10-01,2006-10-31,5.987e+15,0.001168,2.46e+17
2006-11-01,2006-11-30,3.684e+15,0.001153,2.521e+17
2006-12-01,2006-12-31,4.025e+15,0.001114,2.396e+17
2007-01-01,2007-01-31,5.822e+15,0.001169,2.401e+17
2007-02-01,2007-02-28,5.833e+15,0.001146,2.371e+17
2007-03-01,2007-03-31,6.099e+15,0.001192,2.496e+17
2007-04-01,2007-04-30,3.805e+15,0.001224,2.47e+17
2007-05-01,2007-05-31,3.918e+15,0.001222,2.448e+17
2007-06-01,2007-06-30,4.401e+15,0.001283,2.493e+17
2007-07-01,2007-07-31,5.404e+15,0.001322,2.583e+17
2007-08-01,2007-08-31,5.434e+15,0.001292,2.642e+17
2007-09-01,2007-09-30,4.398e+15,0.001234,2.573e+17
2007-10-01,2007-10-31,4.533e+15,0.001203,2.519e+17
2007-11-01,2007-11-30,3.866e+15,0.001172,2.466e+17
2007-12-01,2007-12-31,4.107e+15,0.001157,2.383e+17
2008-01-01,2008-01-31,4.007e+15,0.001188,2.443e+17
2008-02-01,2008-02-29,4.237e+15,0.001183,2.341e+17
2008-03-01,2008-03-31,4.598e+15,0.001166,2.262e+17
2008-04-01,2008-04-30,4.251e+15,0.001225,2.402e+17
2008-05-01,2008-05-31,3.898e+15,0.001233,2.432e+17
2008-06-01,2008-06-30,4.547e+15,0.001281,2.492e+17
2008-07-01,2008-07-31,6.102e+15,0.001331,2.596e+17
2008-08-01,2008-08-31,4.744e+15,0.001297,2.646e+17
2008-09-01,2008-09-30,3.746e+15,0.001237,2.598e+17
2008-10-01,2008-10-31,3.882e+15,0.001222,2.565e+17
2008-11-01,2008-11-30,4.187e+15,0.001135,2.399e+17
2008-12-01,2008-12-31,5.233e+15,0.00112,2.315e+17
2009-01-01,2009-01-31,4.781e+15,0.001126,2.223e+17
2009-02-01,2009-02-28,4.759e+15,0.001168,2.343e+17
2009-03-01,2009-03-31,4.239e+15,0.001224,2.449e+17
2009-04-01,2009-04-30,2.952e+15,0.001252,2.439e+17
2009-05-01,2009-05-31,3.274e+15,0.001247,2.518e+17
2009-06-01,2009-06-30,3.498e+15,0.001321,2.547e+17
2009-07-01,2009-07-31,4.449e+15,0.001345,2.636e+17
2009-08-01,2009-08-31,2.775e+15,0.001298,2.713e+17
2009-09-01,2009-09-30,2.673e+15,0.001234,2.598e+17
2009-10-01,2009-10-31,2.777e+15,0.001187,2.53e+17
2009-11-01,2009-11-30,3.655e+15,0.001089,2.288e+17
2009-12-01,2009-12-31,4.359e+15,0.001078,2.223e+17
2010-01-01,2010-01-31,4.047e+15,0.001199,2.251e+17
2010-02-01,2010-02-28,2.525e+15,0.00123,2.327e+17
2010-03-01,2010-03-31,4.263e+15,0.001268,2.538e+17
2010-04-01,2010-04-30,3.153e+15,0.001277,2.582e+17
2010-05-01,2010-05-31,3.223e+15,0.001304,2.542e+17
2010-06-01,2010-06-30,3.38e+15,0.001339,2.566e+17
2010-07-01,2010-07-31,3.757e+15,0.001424,2.736e+17
2010-08-01,2010-08-31,3.802e+15,0.001413,2.817e+17
2010-09-01,2010-09-30,4.183e+15,0.001287,2.682e+17
2010-10-01,2010-10-31,2.478e+15,0.001248,2.566e+17
2010-11-01,2010-11-30,1.957e+15,0.001192,2.435e+17
2010-12-01,2010-12-31,4.46e+15,0.00127,2.306e+17
2011-01-01,2011-01-31,3.511e+15,0.001253,2.396e+17
2011-02-01,2011-02-28,3.55e+15,0.001272,2.422e+17
2011-03-01,2011-03-31,4.722e+15,0.001296,2.648e+17
2011-04-01,2011-04-30,3.858e+15,0.001279,2.586e+17
2011-05-01,2011-05-31,3.464e+15,0.001328,2.515e+17
2011-06-01,2011-06-30,4.203e+15,0.00138,2.595e+17
2011-07-01,2011-07-31,4.192e+15,0.00143,2.698e+17
2011-08-01,2011-08-31,4.129e+15,0.001425,2.804e+17
2011-09-01,2011-09-30,4.04e+15,0.001281,2.774e+17
2011-10-01,2011-10-31,3.935e+15,0.001325,2.615e+17
2011-11-01,2011-11-30,2.511e+15,0.001253,2.321e+17
2011-12-01,2011-12-31,2.658e+15,0.001169,2.414e+17
2012-01-01,2012-01-31,3.169e+15,0.00118,2.393e+17
2012-02-01,2012-02-29,4.719e+15,0.001204,2.292e+17
2012-03-01,2012-03-31,3.705e+15,0.001232,2.42e+17
2012-04-01,2012-04-30,4.284e+15,0.001304,2.46e+17
2012-05-01,2012-05-31,3.855e+15,0.00133,2.536e+17
2012-06-01,2012-06-30,4.065e+15,0.001351,2.613e+17
2012-07-01,2012-07-31,3.938e+15,0.001398,2.759e+17
2012-08-01,2012-08-31,4.522e+15,0.001454,2.912e+17
2012-09-01,2012-09-30,3.254e+15,0.001341,2.79e+17
2012-10-01,2012-10-31,4.022e+15,0.00132,2.613e+17
2012-11-01,2012-11-30,3.324e+15,0.001294,2.466e+17
2012-12-01,2012-12-31,3.159e+15,0.001337,2.438e+17
2013-01-01,2013-01-31,4.237e+15,0.001346,2.272e+17
2013-02-01,2013-02-28,4.245e+15,0.00139,2.449e+17
