SiteName,Seminole FL
SiteLongitude,-81.5500
SiteLatitude,29.8000
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,6.471e+15
2005-02-01,2005-02-28,6.227e+15
2005-03-01,2005-03-31,5.774e+15
2005-04-01,2005-04-30,4.62e+15
2005-05-01,2005-05-31,5.983e+15
2005-06-01,2005-06-30,4.761e+15
2005-07-01,2005-07-31,4.951e+15
2005-08-01,2005-08-31,6.916e+15
2005-09-01,2005-09-30,4.57e+15
2005-10-01,2005-10-31,5.652e+15
2005-11-01,2005-11-30,5.332e+15
2005-12-01,2005-12-31,6.77e+15
2006-01-01,2006-01-31,5.075e+15
2006-02-01,2006-02-28,6.374e+15
2006-03-01,2006-03-31,5.24e+15
2006-04-01,2006-04-30,4.8e+15
2006-05-01,2006-05-31,5.27e+15
2006-06-01,2006-06-30,5.365e+15
2006-07-01,2006-07-31,5.505e+15
2006-08-01,2006-08-31,6.201e+15
2006-09-01,2006-09-30,5.737e+15
2006-10-01,2006-10-31,5.987e+15
2006-11-01,2006-11-30,3.684e+15
2006-12-01,2006-12-31,4.025e+15
2007-01-01,2007-01-31,5.822e+15
2007-02-01,2007-02-28,5.833e+15
2007-03-01,2007-03-31,6.099e+15
2007-04-01,2007-04-30,3.805e+15
2007-05-01,2007-05-31,3.918e+15
2007-06-01,2007-06-30,4.401e+15
2007-07-01,2007-07-31,5.404e+15
2007-08-01,2007-08-31,5.434e+15
2007-09-01,2007-09-30,4.398e+15
2007-10-01,2007-10-31,4.533e+15
2007-11-01,2007-11-30,3.866e+15
2007-12-01,2007-12-31,4.107e+15
2008-01-01,2008-01-31,4.007e+15
2008-02-01,2008-02-29,4.237e+15
2008-03-01,2008-03-31,4.598e+15
2008-04-01,2008-04-30,4.251e+15
2008-05-01,2008-05-31,3.898e+15
2008-06-01,2008-06-30,4.547e+15
2008-07-01,2008-07-31,6.102e+15
2008-08-01,2008-08-31,4.744e+15
2008-09-01,2008-09-30,3.746e+15
2008-10-01,2008-10-31,3.882e+15
2008-11-01,2008-11-30,4.187e+15
2008-12-01,2008-12-31,5.233e+15
2009-01-01,2009-01-31,4.781e+15
2009-02-01,2009-02-28,4.759e+15
2009-03-01,2009-03-31,4.239e+15
2009-04-01,2009-04-30,2.952e+15
2009-05-01,2009-05-31,3.274e+15
2009-06-01,2009-06-30,3.498e+15
2009-07-01,2009-07-31,4.449e+15
2009-08-01,2009-08-31,2.775e+15
2009-09-01,2009-09-30,2.673e+15
2009-10-01,2009-10-31,2.777e+15
2009-11-01,2009-11-30,3.655e+15
2009-12-01,2009-12-31,4.359e+15
2010-01-01,2010-01-31,4.047e+15
2010-02-01,2010-02-28,2.525e+15
2010-03-01,2010-03-31,4.263e+15
2010-04-01,2010-04-30,3.153e+15
2010-05-01,2010-05-31,3.223e+15
2010-06-01,2010-06-30,3.38e+15
2010-07-01,2010-07-31,3.757e+15
2010-08-01,2010-08-31,3.802e+15
2010-09-01,2010-09-30,4.183e+15
2010-10-01,2010-10-31,2.478e+15
2010-11-01,2010-11-30,1.957e+15
2010-12-01,2010-12-31,4.46e+15
2011-01-01,2011-01-31,3.511e+15
2011-02-01,2011-02-28,3.55e+15
2011-03-01,2011-03-31,4.722e+15
2011-04-01,2011-04-30,3.858e+15
2011-05-01,2011-05-31,3.464e+15
2011-06-01,2011-06-30,4.203e+15
2011-07-01,2011-07-31,4.192e+15
2011-08-01,2011-08-31,4.129e+15
2011-09-01,2011-09-30,4.04e+15
2011-10-01,2011-10-31,3.935e+15
2011-11-01,2011-11-30,2.511e+15
2011-12-01,2011-12-31,2.658e+15
2012-01-01,2012-01-31,3.169e+15
2012-02-01,2012-02-29,4.719e+15
2012-03-01,2012-03-31,3.705e+15
2012-04-01,2012-04-30,4.284e+15
2012-05-01,2012-05-31,3.855e+15
2012-06-01,2012-06-30,4.065e+15
2012-07-01,2012-07-31,3.938e+15
2012-08-01,2012-08-31,4.522e+15
2012-09-01,2012-09-30,3.254e+15
2012-10-01,2012-10-31,4.022e+15
2012-11-01,2012-11-30,3.324e+15
2012-12-01,2012-12-31,3.159e+15
2013-01-01,2013-01-31,4.237e+15
2013-02-01,2013-02-28,4.245e+15
2013-03-01,2013-03-31,4.691e+15
2013-04-01,2013-04-30,3.19e+15
2013-05-01,2013-05-31,4.124e+15
2013-06-01,2013-06-30,3.671e+15
2013-07-01,2013-07-31,3.841e+15
2013-08-01,2013-08-31,4.058e+15
2013-09-01,2013-09-30,3.515e+15
2013-10-01,2013-10-31,2.161e+15
2013-11-01,2013-11-30,2.467e+15
2013-12-01,2013-12-31,3.854e+15
2014-01-01,2014-01-31,3.001e+15
2014-02-01,2014-02-28,4.763e+15
2014-03-01,2014-03-31,3.19e+15
2014-04-01,2014-04-30,3.517e+15
2014-05-01,2014-05-31,3.858e+15
2014-06-01,2014-06-30,4.137e+15
2014-07-01,2014-07-31,3.85e+15
2014-08-01,2014-08-31,5.294e+15
2014-09-01,2014-09-30,3.936e+15
2014-10-01,2014-10-31,2.764e+15
2014-11-01,2014-11-30,3.923e+15
2014-12-01,2014-12-31,3.83e+15
2015-01-01,2015-01-31,2.723e+15
2015-02-01,2015-02-28,3.355e+15
2015-03-01,2015-03-31,3.07e+15
2015-04-01,2015-04-30,5.242e+15
2015-05-01,2015-05-31,3.979e+15
2015-06-01,2015-06-30,4.423e+15
2015-07-01,2015-07-31,4.239e+15
2015-08-01,2015-08-31,3.986e+15
2015-09-01,2015-09-30,3.123e+15
2015-10-01,2015-10-31,2.768e+15
2015-11-01,2015-11-30,2.952e+15
2015-12-01,2015-12-31,3.644e+15
