SiteName,Valmy NV
ShortName,Valmy
SiteLongitude,-117.0000
SiteLatitude,40.9000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.077e+15,0.00352,2.507e+17
2005-02-01,2005-02-28,1.587e+15,0.003433,2.626e+17
2005-03-01,2005-03-31,1.212e+15,0.003083,2.632e+17
2005-04-01,2005-04-30,1.026e+15,0.002997,2.334e+17
2005-05-01,2005-05-31,1.256e+15,0.003447,2.293e+17
2005-06-01,2005-06-30,1.346e+15,0.003783,2.295e+17
2005-07-01,2005-07-31,1.479e+15,0.003551,2.407e+17
2005-08-01,2005-08-31,1.823e+15,0.003467,2.489e+17
2005-09-01,2005-09-30,1.939e+15,0.003379,2.559e+17
2005-10-01,2005-10-31,1.789e+15,0.003494,2.679e+17
2005-11-01,2005-11-30,1.725e+15,0.00283,2.624e+17
2005-12-01,2005-12-31,1.805e+15,0.003602,2.696e+17
2006-01-01,2006-01-31,1.727e+15,0.003692,2.54e+17
2006-02-01,2006-02-28,1.585e+15,0.003187,2.487e+17
2006-03-01,2006-03-31,1.038e+15,0.003301,2.511e+17
2006-04-01,2006-04-30,8.641e+14,0.003238,2.426e+17
2006-05-01,2006-05-31,1.012e+15,0.003143,2.33e+17
2006-06-01,2006-06-30,1.098e+15,0.003056,2.356e+17
2006-07-01,2006-07-31,1.459e+15,0.00336,2.396e+17
2006-08-01,2006-08-31,1.415e+15,0.003662,2.505e+17
2006-09-01,2006-09-30,2.171e+15,0.003243,2.497e+17
2006-10-01,2006-10-31,1.797e+15,0.003645,2.713e+17
2006-11-01,2006-11-30,1.328e+15,0.003749,2.788e+17
2006-12-01,2006-12-31,1.754e+15,0.003348,2.644e+17
2007-01-01,2007-01-31,1.401e+15,0.00336,2.738e+17
2007-02-01,2007-02-28,1.216e+15,0.003188,2.734e+17
2007-03-01,2007-03-31,1.315e+15,0.003332,2.741e+17
2007-04-01,2007-04-30,8.334e+14,0.003301,2.528e+17
2007-05-01,2007-05-31,1.112e+15,0.003277,2.317e+17
2007-06-01,2007-06-30,1.266e+15,0.003516,2.335e+17
2007-07-01,2007-07-31,1.622e+15,0.004313,2.43e+17
2007-08-01,2007-08-31,1.644e+15,0.003303,2.527e+17
2007-09-01,2007-09-30,1.939e+15,0.003178,2.585e+17
2007-10-01,2007-10-31,1.518e+15,0.003723,2.712e+17
2007-11-01,2007-11-30,1.413e+15,0.003578,2.703e+17
2007-12-01,2007-12-31,1.138e+15,0.003488,2.795e+17
2008-01-01,2008-01-31,8.47e+14,0.003469,2.684e+17
2008-02-01,2008-02-29,1.115e+15,0.00344,2.566e+17
2008-03-01,2008-03-31,1.338e+15,0.003075,2.455e+17
2008-04-01,2008-04-30,9.27e+14,0.00372,2.379e+17
2008-05-01,2008-05-31,9.672e+14,0.003696,2.338e+17
2008-06-01,2008-06-30,1.104e+15,0.003474,2.361e+17
2008-07-01,2008-07-31,1.331e+15,0.00345,2.445e+17
2008-08-01,2008-08-31,1.354e+15,0.003543,2.509e+17
2008-09-01,2008-09-30,1.775e+15,0.003429,2.527e+17
2008-10-01,2008-10-31,1.554e+15,0.003888,2.484e+17
2008-11-01,2008-11-30,1.275e+15,0.003502,2.68e+17
2008-12-01,2008-12-31,1.273e+15,0.003414,2.84e+17
2009-01-01,2009-01-31,1.278e+15,0.00318,2.49e+17
2009-02-01,2009-02-28,1.596e+15,0.003321,2.455e+17
2009-03-01,2009-03-31,1.109e+15,0.00309,2.543e+17
2009-04-01,2009-04-30,8.278e+14,0.003204,2.566e+17
2009-05-01,2009-05-31,9.704e+14,0.003233,2.43e+17
2009-06-01,2009-06-30,1.301e+15,0.003277,2.403e+17
2009-07-01,2009-07-31,1.076e+15,0.003513,2.47e+17
2009-08-01,2009-08-31,1.459e+15,0.003574,2.541e+17
2009-09-01,2009-09-30,1.202e+15,0.003999,2.611e+17
2009-10-01,2009-10-31,1.365e+15,0.003345,2.674e+17
2009-11-01,2009-11-30,1.265e+15,0.003009,2.558e+17
2009-12-01,2009-12-31,1.23e+15,0.003157,2.304e+17
2010-01-01,2010-01-31,1.073e+15,0.003625,2.42e+17
2010-02-01,2010-02-28,9.215e+14,0.003303,2.488e+17
2010-03-01,2010-03-31,8.998e+14,0.002965,2.572e+17
2010-04-01,2010-04-30,6.239e+14,0.003423,2.601e+17
2010-05-01,2010-05-31,7.878e+14,0.003376,2.416e+17
2010-06-01,2010-06-30,1.041e+15,0.003797,2.485e+17
2010-07-01,2010-07-31,1.03e+15,0.003723,2.59e+17
2010-08-01,2010-08-31,1.447e+15,0.003851,2.63e+17
2010-09-01,2010-09-30,1.367e+15,0.003969,2.643e+17
2010-10-01,2010-10-31,1.365e+15,0.003066,2.613e+17
2010-11-01,2010-11-30,1.023e+15,0.004077,2.491e+17
2010-12-01,2010-12-31,9.206e+14,0.003045,2.522e+17
2011-01-01,2011-01-31,1.748e+15,0.003308,2.612e+17
2011-02-01,2011-02-28,9.195e+14,0.00301,2.609e+17
2011-03-01,2011-03-31,8.222e+14,0.004296,2.663e+17
2011-04-01,2011-04-30,6.859e+14,0.003611,2.605e+17
2011-05-01,2011-05-31,8.566e+14,0.004028,2.362e+17
2011-06-01,2011-06-30,7.501e+14,0.003834,2.429e+17
2011-07-01,2011-07-31,8.28e+14,0.003538,2.532e+17
2011-08-01,2011-08-31,1.094e+15,0.003581,2.646e+17
2011-09-01,2011-09-30,1.269e+15,0.003843,2.597e+17
2011-10-01,2011-10-31,1.373e+15,0.003551,2.622e+17
2011-11-01,2011-11-30,9.144e+14,0.002947,2.643e+17
2011-12-01,2011-12-31,1.199e+15,0.003313,2.613e+17
2012-01-01,2012-01-31,7.3e+14,0.003509,2.646e+17
2012-02-01,2012-02-29,8.791e+14,0.003385,2.668e+17
2012-03-01,2012-03-31,8.729e+14,0.003543,2.64e+17
2012-04-01,2012-04-30,8.787e+14,0.003111,2.446e+17
2012-05-01,2012-05-31,7.254e+14,0.003823,2.49e+17
2012-06-01,2012-06-30,8.445e+14,0.003552,2.471e+17
2012-07-01,2012-07-31,1.179e+15,0.004166,2.659e+17
2012-08-01,2012-08-31,1.399e+15,0.003749,2.713e+17
2012-09-01,2012-09-30,1.395e+15,0.003638,2.752e+17
2012-10-01,2012-10-31,1.437e+15,0.00329,2.675e+17
2012-11-01,2012-11-30,1.59e+15,0.003426,2.6e+17
2012-12-01,2012-12-31,4.859e+14,0.003482,2.609e+17
2013-01-01,2013-01-31,9.671e+14,0.003455,2.392e+17
2013-02-01,2013-02-28,1.023e+15,0.003628,2.499e+17
2013-03-01,2013-03-31,1.126e+15,0.003618,2.751e+17
2013-04-01,2013-04-30,6.453e+14,0.003766,2.585e+17
2013-05-01,2013-05-31,7.094e+14,0.003163,2.555e+17
2013-06-01,2013-06-30,1.072e+15,0.00363,2.531e+17
2013-07-01,2013-07-31,1.069e+15,0.003985,2.619e+17
2013-08-01,2013-08-31,1.717e+15,0.003659,2.726e+17
