SiteName,Acacia
ShortName,Acacia
SiteLongitude,-68.2100
SiteLatitude,44.3500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.766e+15,0.001232,2.436e+17
2005-02-01,2005-02-28,1.044e+15,0.001172,2.334e+17
2005-03-01,2005-03-31,1.255e+15,0.001127,2.45e+17
2005-04-01,2005-04-30,1.607e+15,0.001175,2.301e+17
2005-05-01,2005-05-31,9.204e+14,0.00117,2.293e+17
2005-06-01,2005-06-30,1.254e+15,0.001196,2.252e+17
2005-07-01,2005-07-31,8.012e+14,0.001262,2.367e+17
2005-08-01,2005-08-31,8.213e+14,0.001328,2.438e+17
2005-09-01,2005-09-30,1.344e+15,0.001256,2.533e+17
2005-10-01,2005-10-31,1.462e+15,0.001278,2.726e+17
2005-11-01,2005-11-30,3.565e+15,0.001182,2.71e+17
2005-12-01,2005-12-31,3.311e+15,0.001227,2.593e+17
2006-01-01,2006-01-31,3.125e+15,0.001256,2.487e+17
2006-02-01,2006-02-28,2.63e+15,0.001228,2.47e+17
2006-03-01,2006-03-31,1.085e+15,0.001174,2.493e+17
2006-04-01,2006-04-30,1.535e+15,0.001252,2.421e+17
2006-05-01,2006-05-31,8.837e+14,0.001185,2.302e+17
2006-06-01,2006-06-30,1.214e+15,0.001227,2.266e+17
2006-07-01,2006-07-31,7.997e+14,0.001251,2.334e+17
2006-08-01,2006-08-31,8.464e+14,0.001305,2.437e+17
2006-09-01,2006-09-30,1.145e+15,0.001256,2.552e+17
2006-10-01,2006-10-31,1.058e+15,0.00119,2.622e+17
2006-11-01,2006-11-30,2.179e+15,0.001272,2.882e+17
2006-12-01,2006-12-31,3.273e+15,0.001215,2.638e+17
2007-01-01,2007-01-31,1.922e+15,0.001328,2.772e+17
2007-02-01,2007-02-28,1.977e+15,0.001266,2.588e+17
2007-03-01,2007-03-31,1.025e+15,0.001184,2.686e+17
2007-04-01,2007-04-30,1.308e+15,0.001156,2.397e+17
2007-05-01,2007-05-31,9.024e+14,0.001152,2.298e+17
2007-06-01,2007-06-30,1.214e+15,0.001243,2.285e+17
2007-07-01,2007-07-31,7.428e+14,0.001249,2.383e+17
2007-08-01,2007-08-31,8.664e+14,0.001317,2.447e+17
2007-09-01,2007-09-30,1.203e+15,0.001278,2.511e+17
