SiteName,Big Bend
ShortName,Big Bend
SiteLongitude,-103.2500
SiteLatitude,29.2500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,8.343e+14,0.002013,2.305e+17
2005-02-01,2005-02-28,7.566e+14,0.001867,2.354e+17
2005-03-01,2005-03-31,1.082e+15,0.001822,2.345e+17
2005-04-01,2005-04-30,1.044e+15,0.001868,2.372e+17
2005-05-01,2005-05-31,1.165e+15,0.001858,2.394e+17
2005-06-01,2005-06-30,1.134e+15,0.002037,2.451e+17
2005-07-01,2005-07-31,1.354e+15,0.002219,2.584e+17
2005-08-01,2005-08-31,1.485e+15,0.002021,2.598e+17
2005-09-01,2005-09-30,1.083e+15,0.001866,2.506e+17
2005-10-01,2005-10-31,8.28e+14,0.001855,2.477e+17
2005-11-01,2005-11-30,7.005e+14,0.001825,2.326e+17
2005-12-01,2005-12-31,9.045e+14,0.001937,2.388e+17
2006-01-01,2006-01-31,8.787e+14,0.001945,2.331e+17
2006-02-01,2006-02-28,1.24e+15,0.001964,2.26e+17
2006-03-01,2006-03-31,9.37e+14,0.00195,2.432e+17
2006-04-01,2006-04-30,1.1e+15,0.001949,2.418e+17
2006-05-01,2006-05-31,1.108e+15,0.001911,2.428e+17
2006-06-01,2006-06-30,1.028e+15,0.002181,2.469e+17
2006-07-01,2006-07-31,1.591e+15,0.002064,2.507e+17
2006-08-01,2006-08-31,1.552e+15,0.002091,2.613e+17
2006-09-01,2006-09-30,1.039e+15,0.001936,2.491e+17
2006-10-01,2006-10-31,9.579e+14,0.001841,2.507e+17
2006-11-01,2006-11-30,7.718e+14,0.002024,2.501e+17
2006-12-01,2006-12-31,7.711e+14,0.001958,2.412e+17
2007-01-01,2007-01-31,5.057e+14,0.002058,2.434e+17
2007-02-01,2007-02-28,8.892e+14,0.00192,2.404e+17
2007-03-01,2007-03-31,1.146e+15,0.001892,2.491e+17
2007-04-01,2007-04-30,9.434e+14,0.002012,2.465e+17
2007-05-01,2007-05-31,1.107e+15,0.001945,2.406e+17
2007-06-01,2007-06-30,1.331e+15,0.002274,2.459e+17
2007-07-01,2007-07-31,1.514e+15,0.00219,2.592e+17
2007-08-01,2007-08-31,1.501e+15,0.001975,2.653e+17
2007-09-01,2007-09-30,1.126e+15,0.001921,2.571e+17
2007-10-01,2007-10-31,8.212e+14,0.001901,2.513e+17
2007-11-01,2007-11-30,6.801e+14,0.001949,2.496e+17
2007-12-01,2007-12-31,7.566e+14,0.001863,2.375e+17
2008-01-01,2008-01-31,6.728e+14,0.002054,2.498e+17
2008-02-01,2008-02-29,7.299e+14,0.001949,2.386e+17
2008-03-01,2008-03-31,9.532e+14,0.001943,2.298e+17
2008-04-01,2008-04-30,1.015e+15,0.001903,2.365e+17
2008-05-01,2008-05-31,1.086e+15,0.0019,2.418e+17
2008-06-01,2008-06-30,1.035e+15,0.001981,2.478e+17
2008-07-01,2008-07-31,1.509e+15,0.002176,2.599e+17
2008-08-01,2008-08-31,1.392e+15,0.002078,2.594e+17
2008-09-01,2008-09-30,1.017e+15,0.00192,2.565e+17
2008-10-01,2008-10-31,1.064e+15,0.002034,2.515e+17
2008-11-01,2008-11-30,8.501e+14,0.001882,2.46e+17
2008-12-01,2008-12-31,9.796e+14,0.001749,2.427e+17
2009-01-01,2009-01-31,9.003e+14,0.001814,2.333e+17
2009-02-01,2009-02-28,9.63e+14,0.001927,2.338e+17
2009-03-01,2009-03-31,8.846e+14,0.002075,2.473e+17
