SiteName,Crater Lake
ShortName,Crater Lake
SiteLongitude,-122.1000
SiteLatitude,42.9400
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,2.554e+14,0.003005,2.463e+17
2005-02-01,2005-02-28,2.721e+14,0.003356,2.695e+17
2005-03-01,2005-03-31,2.519e+14,0.002752,2.672e+17
2005-04-01,2005-04-30,2.037e+14,0.003177,2.342e+17
2005-05-01,2005-05-31,1.79e+14,0.002835,2.263e+17
2005-06-01,2005-06-30,3.478e+14,0.002783,2.293e+17
2005-07-01,2005-07-31,5.913e+14,0.002896,2.374e+17
2005-08-01,2005-08-31,3.014e+14,0.003139,2.466e+17
2005-09-01,2005-09-30,3.295e+14,0.002909,2.559e+17
2005-10-01,2005-10-31,4.184e+14,0.003151,2.706e+17
2005-11-01,2005-11-30,1.774e+14,0.00309,2.736e+17
2005-12-01,2005-12-31,2.061e+14,0.002927,2.724e+17
2006-01-01,2006-01-31,2.084e+14,0.00345,2.562e+17
2006-02-01,2006-02-28,2.166e+14,0.002914,2.551e+17
2006-03-01,2006-03-31,1.975e+14,0.002718,2.54e+17
2006-04-01,2006-04-30,2.237e+14,0.002836,2.404e+17
2006-05-01,2006-05-31,2.202e+14,0.002688,2.344e+17
2006-06-01,2006-06-30,2.792e+14,0.003006,2.313e+17
2006-07-01,2006-07-31,6.29e+14,0.003002,2.377e+17
2006-08-01,2006-08-31,3.408e+14,0.003007,2.488e+17
2006-09-01,2006-09-30,3.851e+14,0.002818,2.529e+17
2006-10-01,2006-10-31,2.762e+14,0.002824,2.694e+17
2006-11-01,2006-11-30,9.555e+13,0.002525,2.909e+17
2006-12-01,2006-12-31,2.993e+14,0.002894,2.712e+17
2007-01-01,2007-01-31,2.62e+14,0.003302,2.774e+17
2007-02-01,2007-02-28,3.039e+14,0.002849,2.725e+17
2007-03-01,2007-03-31,2.361e+14,0.002693,2.737e+17
2007-04-01,2007-04-30,2.727e+14,0.002649,2.505e+17
2007-05-01,2007-05-31,2.138e+14,0.002662,2.294e+17
2007-06-01,2007-06-30,2.965e+14,0.002983,2.296e+17
2007-07-01,2007-07-31,6.323e+14,0.002924,2.415e+17
2007-08-01,2007-08-31,3.547e+14,0.003327,2.495e+17
2007-09-01,2007-09-30,3.924e+14,0.002845,2.585e+17
2007-10-01,2007-10-31,3.21e+14,0.002872,2.745e+17
2007-11-01,2007-11-30,1.899e+14,0.002847,2.729e+17
2007-12-01,2007-12-31,2.018e+14,0.003132,2.816e+17
2008-01-01,2008-01-31,2.849e+14,0.003813,2.715e+17
2008-02-01,2008-02-29,2.024e+14,0.002968,2.614e+17
2008-03-01,2008-03-31,2.057e+14,0.003125,2.551e+17
2008-04-01,2008-04-30,1.715e+14,0.002759,2.349e+17
2008-05-01,2008-05-31,2.729e+14,0.003108,2.301e+17
2008-06-01,2008-06-30,3.044e+14,0.003226,2.304e+17
2008-07-01,2008-07-31,5.704e+14,0.003366,2.4e+17
2008-08-01,2008-08-31,3.388e+14,0.003297,2.501e+17
2008-09-01,2008-09-30,6.152e+14,0.003225,2.54e+17
2008-10-01,2008-10-31,3.384e+14,0.003296,2.633e+17
2008-11-01,2008-11-30,1.589e+14,0.002563,2.692e+17
2008-12-01,2008-12-31,2.688e+14,0.003569,2.893e+17
2009-01-01,2009-01-31,2.36e+14,0.003445,2.519e+17
2009-02-01,2009-02-28,2.126e+14,0.003202,2.43e+17
2009-03-01,2009-03-31,1.569e+14,0.003105,2.601e+17
2009-04-01,2009-04-30,2.256e+14,0.003084,2.55e+17
2009-05-01,2009-05-31,2.305e+14,0.002927,2.358e+17
2009-06-01,2009-06-30,3.014e+14,0.003207,2.346e+17
2009-07-01,2009-07-31,6.286e+14,0.003145,2.415e+17
2009-08-01,2009-08-31,3.413e+14,0.003436,2.529e+17
2009-09-01,2009-09-30,5.48e+14,0.00295,2.474e+17
2009-10-01,2009-10-31,2.334e+14,0.00301,2.671e+17
2009-11-01,2009-11-30,2.942e+14,0.00297,2.681e+17
2009-12-01,2009-12-31,2.272e+14,0.002978,2.552e+17
2010-01-01,2010-01-31,3.463e+14,0.003209,2.58e+17
2010-02-01,2010-02-28,2.246e+14,0.003091,2.637e+17
2010-03-01,2010-03-31,2.815e+14,0.003069,2.638e+17
2010-04-01,2010-04-30,2.63e+14,0.003304,2.507e+17
2010-05-01,2010-05-31,2.185e+14,0.002518,2.414e+17
2010-06-01,2010-06-30,4.08e+14,0.00312,2.358e+17
2010-07-01,2010-07-31,4.103e+14,0.003466,2.503e+17
2010-08-01,2010-08-31,3.718e+14,0.003929,2.609e+17
2010-09-01,2010-09-30,4.171e+14,0.003374,2.676e+17
2010-10-01,2010-10-31,2.488e+14,0.002774,2.564e+17
2010-11-01,2010-11-30,2.126e+14,0.002943,2.59e+17
2010-12-01,2010-12-31,2.628e+14,0.003159,2.64e+17
2011-01-01,2011-01-31,2.738e+14,0.003588,2.715e+17
2011-02-01,2011-02-28,3.277e+14,0.003911,2.725e+17
2011-03-01,2011-03-31,2.651e+14,0.003072,2.587e+17
2011-04-01,2011-04-30,2.414e+14,0.002888,2.542e+17
2011-05-01,2011-05-31,1.54e+14,0.002563,2.485e+17
2011-06-01,2011-06-30,3.142e+14,0.003552,2.402e+17
2011-07-01,2011-07-31,5.557e+14,0.0037,2.551e+17
2011-08-01,2011-08-31,3.74e+14,0.003654,2.564e+17
2011-09-01,2011-09-30,5.089e+14,0.003573,2.666e+17
2011-10-01,2011-10-31,3.686e+14,0.003005,2.706e+17
2011-11-01,2011-11-30,2.558e+14,0.002439,2.684e+17
2011-12-01,2011-12-31,2.638e+14,0.003152,2.779e+17
2012-01-01,2012-01-31,3.126e+14,0.002896,2.537e+17
2012-02-01,2012-02-29,1.813e+14,0.003211,2.831e+17
2012-03-01,2012-03-31,2.373e+14,0.003024,2.734e+17
2012-04-01,2012-04-30,2.719e+14,0.002901,2.487e+17
2012-05-01,2012-05-31,2.541e+14,0.003739,2.442e+17
2012-06-01,2012-06-30,3.117e+14,0.003297,2.426e+17
2012-07-01,2012-07-31,6.325e+14,0.003554,2.55e+17
2012-08-01,2012-08-31,3.489e+14,0.003473,2.629e+17
2012-09-01,2012-09-30,4.135e+14,0.003529,2.738e+17
2012-10-01,2012-10-31,4.101e+14,0.003294,2.681e+17
2012-11-01,2012-11-30,1.686e+14,0.003692,2.676e+17
2012-12-01,2012-12-31,2.844e+14,0.002301,2.665e+17
2013-01-01,2013-01-31,2.344e+14,0.003122,2.442e+17
2013-02-01,2013-02-28,2.324e+14,0.002993,2.597e+17
2013-03-01,2013-03-31,2.345e+14,0.002955,2.792e+17
2013-04-01,2013-04-30,2.664e+14,0.003351,2.601e+17
2013-05-01,2013-05-31,2.583e+14,0.003154,2.433e+17
2013-06-01,2013-06-30,3.621e+14,0.003916,2.48e+17
2013-07-01,2013-07-31,5.839e+14,0.003478,2.55e+17
2013-08-01,2013-08-31,3.924e+14,0.003899,2.695e+17
2013-09-01,2013-09-30,5.508e+14,0.003381,2.671e+17
2013-10-01,2013-10-31,3.189e+14,0.003577,2.759e+17
2013-11-01,2013-11-30,1.009e+14,0.003117,2.725e+17
