SiteName,Death Valley
ShortName,Death Valley
SiteLongitude,-116.8200
SiteLatitude,36.2400
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.971e+14,0.02623,2.465e+17
2005-02-01,2005-02-28,9.895e+14,0.002432,2.525e+17
2005-03-01,2005-03-31,8.478e+14,0.001988,2.529e+17
2005-04-01,2005-04-30,9.804e+14,0.001682,2.353e+17
2005-05-01,2005-05-31,8.103e+14,0.002118,2.317e+17
2005-06-01,2005-06-30,1.296e+15,0.002147,2.361e+17
2005-07-01,2005-07-31,1.048e+15,0.004455,2.464e+17
2005-08-01,2005-08-31,1.239e+15,0.001996,2.52e+17
2005-09-01,2005-09-30,1.532e+15,0.002308,2.541e+17
2005-10-01,2005-10-31,1.163e+15,0.001841,2.588e+17
2005-11-01,2005-11-30,9.155e+14,0.002072,2.59e+17
2005-12-01,2005-12-31,8.927e+14,0.001915,2.555e+17
2006-01-01,2006-01-31,7.537e+14,0.002175,2.421e+17
2006-02-01,2006-02-28,8.436e+14,0.001962,2.385e+17
2006-03-01,2006-03-31,9.427e+14,0.002873,2.524e+17
2006-04-01,2006-04-30,1.008e+15,0.002582,2.408e+17
2006-05-01,2006-05-31,9.359e+14,0.002066,2.358e+17
2006-06-01,2006-06-30,1.234e+15,0.001853,2.372e+17
2006-07-01,2006-07-31,1.03e+15,0.002651,2.438e+17
2006-08-01,2006-08-31,1.09e+15,0.002215,2.536e+17
2006-09-01,2006-09-30,1.143e+15,0.001907,2.497e+17
2006-10-01,2006-10-31,1.323e+15,0.001781,2.632e+17
2006-11-01,2006-11-30,8.638e+14,0.002022,2.645e+17
2006-12-01,2006-12-31,8.298e+14,0.00204,2.571e+17
2007-01-01,2007-01-31,7.224e+14,0.001924,2.595e+17
2007-02-01,2007-02-28,9.523e+14,0.001939,2.625e+17
2007-03-01,2007-03-31,8.757e+14,0.00229,2.661e+17
2007-04-01,2007-04-30,9.448e+14,0.001983,2.497e+17
2007-05-01,2007-05-31,1.076e+15,0.003,2.359e+17
2007-06-01,2007-06-30,1.384e+15,0.00398,2.366e+17
2007-07-01,2007-07-31,1.033e+15,0.003571,2.512e+17
2007-08-01,2007-08-31,1.456e+15,0.002029,2.564e+17
2007-09-01,2007-09-30,1.336e+15,0.001755,2.557e+17
2007-10-01,2007-10-31,1.222e+15,0.001933,2.644e+17
2007-11-01,2007-11-30,8.813e+14,0.002303,2.632e+17
2007-12-01,2007-12-31,9.778e+14,0.001965,2.608e+17
2008-01-01,2008-01-31,7.338e+14,0.002357,2.657e+17
2008-02-01,2008-02-29,7.395e+14,0.002035,2.544e+17
2008-03-01,2008-03-31,9.73e+14,0.002067,2.396e+17
2008-04-01,2008-04-30,1.032e+15,0.001938,2.356e+17
2008-05-01,2008-05-31,8.215e+14,0.00199,2.355e+17
2008-06-01,2008-06-30,1.075e+15,0.002293,2.378e+17
2008-07-01,2008-07-31,1.045e+15,0.002209,2.473e+17
2008-08-01,2008-08-31,1.176e+15,0.002043,2.541e+17
2008-09-01,2008-09-30,1.11e+15,0.001981,2.526e+17
2008-10-01,2008-10-31,1.282e+15,0.001845,2.485e+17
2008-11-01,2008-11-30,8.578e+14,0.001938,2.626e+17
2008-12-01,2008-12-31,7.96e+14,0.002133,2.72e+17
2009-01-01,2009-01-31,5.267e+14,0.001695,2.351e+17
2009-02-01,2009-02-28,1.051e+15,0.001801,2.286e+17
2009-03-01,2009-03-31,9.535e+14,0.001979,2.542e+17
2009-04-01,2009-04-30,9.222e+14,0.002159,2.542e+17
2009-05-01,2009-05-31,8.793e+14,0.001997,2.453e+17
2009-06-01,2009-06-30,1.162e+15,0.002217,2.478e+17
2009-07-01,2009-07-31,8.199e+14,0.002127,2.502e+17
2009-08-01,2009-08-31,1.243e+15,0.002429,2.561e+17
2009-09-01,2009-09-30,1.174e+15,0.002243,2.643e+17
2009-10-01,2009-10-31,9.881e+14,0.002002,2.581e+17
2009-11-01,2009-11-30,1.021e+15,0.002059,2.555e+17
2009-12-01,2009-12-31,9.026e+14,0.002126,2.371e+17
2010-01-01,2010-01-31,7.323e+14,0.002532,2.386e+17
2010-02-01,2010-02-28,9.816e+14,0.001853,2.456e+17
2010-03-01,2010-03-31,1.165e+15,0.002429,2.635e+17
2010-04-01,2010-04-30,9.781e+14,0.002183,2.626e+17
2010-05-01,2010-05-31,7.409e+14,0.002201,2.477e+17
2010-06-01,2010-06-30,1.276e+15,0.002502,2.457e+17
2010-07-01,2010-07-31,8.55e+14,0.002319,2.617e+17
2010-08-01,2010-08-31,1.013e+15,0.003082,2.65e+17
2010-09-01,2010-09-30,1.181e+15,0.002123,2.655e+17
2010-10-01,2010-10-31,1.077e+15,0.001967,2.544e+17
2010-11-01,2010-11-30,8.024e+14,0.002074,2.542e+17
2010-12-01,2010-12-31,1.087e+15,0.002977,2.562e+17
2011-01-01,2011-01-31,7.717e+14,0.002013,2.604e+17
2011-02-01,2011-02-28,9.272e+14,0.00236,2.559e+17
2011-03-01,2011-03-31,8.983e+14,0.00219,2.697e+17
2011-04-01,2011-04-30,8.67e+14,0.003376,2.554e+17
2011-05-01,2011-05-31,7.935e+14,0.002327,2.477e+17
2011-06-01,2011-06-30,1.017e+15,0.002271,2.514e+17
2011-07-01,2011-07-31,7.875e+14,0.002257,2.59e+17
2011-08-01,2011-08-31,1.08e+15,0.002392,2.666e+17
2011-09-01,2011-09-30,9.402e+14,0.002414,2.648e+17
2011-10-01,2011-10-31,1.165e+15,0.002033,2.69e+17
2011-11-01,2011-11-30,8.017e+14,0.002525,2.625e+17
2011-12-01,2011-12-31,7.387e+14,0.002353,2.592e+17
2012-01-01,2012-01-31,6.248e+14,0.002348,2.624e+17
2012-02-01,2012-02-29,7.877e+14,0.002172,2.547e+17
2012-03-01,2012-03-31,9.053e+14,0.002441,2.631e+17
2012-04-01,2012-04-30,9.067e+14,0.002601,2.447e+17
2012-05-01,2012-05-31,9.837e+14,0.002186,2.494e+17
2012-06-01,2012-06-30,1.141e+15,0.002239,2.504e+17
2012-07-01,2012-07-31,8.686e+14,0.002699,2.662e+17
2012-08-01,2012-08-31,1.085e+15,0.002715,2.7e+17
2012-09-01,2012-09-30,1.119e+15,0.002558,2.746e+17
2012-10-01,2012-10-31,1.105e+15,0.002194,2.609e+17
2012-11-01,2012-11-30,7.231e+14,0.002476,2.559e+17
2012-12-01,2012-12-31,7.72e+14,0.002602,2.485e+17
2013-01-01,2013-01-31,6.674e+14,0.002178,2.415e+17
2013-02-01,2013-02-28,7.634e+14,0.001805,2.489e+17
2013-03-01,2013-03-31,1.133e+15,0.002289,2.751e+17
2013-04-01,2013-04-30,8.507e+14,0.002078,2.552e+17
2013-05-01,2013-05-31,9.833e+14,0.00247,2.541e+17
2013-06-01,2013-06-30,1.233e+15,0.002322,2.561e+17
2013-07-01,2013-07-31,8.764e+14,0.002954,2.649e+17
2013-08-01,2013-08-31,1.033e+15,0.002332,2.729e+17
2013-09-01,2013-09-30,1.264e+15,0.002442,2.719e+17
2013-10-01,2013-10-31,1.106e+15,0.002299,2.82e+17
2013-11-01,2013-11-30,1.128e+15,0.002324,2.787e+17
2013-12-01,2013-12-31,9.601e+14,0.002327,2.515e+17
2014-01-01,2014-01-31,5.34e+14,0.002576,2.65e+17
2014-02-01,2014-02-28,9.038e+14,0.002365,2.604e+17
2014-03-01,2014-03-31,9.647e+14,0.00236,2.773e+17
2014-04-01,2014-04-30,7.941e+14,0.002343,2.559e+17
2014-05-01,2014-05-31,8.327e+14,0.002241,2.497e+17
2014-06-01,2014-06-30,1.038e+15,0.002534,2.536e+17
2014-07-01,2014-07-31,8.407e+14,0.002831,2.73e+17
2014-08-01,2014-08-31,1.007e+15,0.002681,2.777e+17
2014-09-01,2014-09-30,1.086e+15,0.00253,2.816e+17
