SiteName,Grand Canyon
ShortName,Grand Canyon
SiteLongitude,-112.1400
SiteLatitude,36.0600
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.162e+15,0.008238,2.468e+17
2005-02-01,2005-02-28,8.405e+14,0.003939,2.495e+17
2005-03-01,2005-03-31,7.496e+14,0.06201,2.515e+17
2005-04-01,2005-04-30,9.348e+14,0.004663,2.36e+17
2005-05-01,2005-05-31,5.661e+14,0.01159,2.331e+17
2005-06-01,2005-06-30,7.211e+14,0.01359,2.352e+17
2005-07-01,2005-07-31,7.725e+14,0.2511,2.492e+17
2005-08-01,2005-08-31,4.959e+14,0.005675,2.523e+17
2005-09-01,2005-09-30,7.607e+14,0.1504,2.543e+17
2005-10-01,2005-10-31,1.144e+15,0.02705,2.618e+17
2005-11-01,2005-11-30,1.043e+15,0.00499,2.511e+17
2005-12-01,2005-12-31,1.065e+15,0.004848,2.523e+17
2006-01-01,2006-01-31,8.661e+14,0.01462,2.455e+17
2006-02-01,2006-02-28,7.814e+14,0.009946,2.377e+17
2006-03-01,2006-03-31,7.115e+14,0.007999,2.449e+17
2006-04-01,2006-04-30,8.824e+14,0.004641,2.415e+17
2006-05-01,2006-05-31,7.847e+14,0.009063,2.376e+17
2006-06-01,2006-06-30,8.998e+14,0.01266,2.382e+17
2006-07-01,2006-07-31,6.291e+14,0.02952,2.44e+17
2006-08-01,2006-08-31,3.907e+14,0.006762,2.516e+17
2006-09-01,2006-09-30,6.464e+14,0.00774,2.501e+17
2006-10-01,2006-10-31,1.319e+15,0.03947,2.647e+17
2006-11-01,2006-11-30,9.245e+14,0.02539,2.679e+17
2006-12-01,2006-12-31,7.991e+14,1.389,2.573e+17
2007-01-01,2007-01-31,8.66e+14,0.01629,2.575e+17
2007-02-01,2007-02-28,7.621e+14,0.1257,2.591e+17
2007-03-01,2007-03-31,8.232e+14,0.02959,2.671e+17
2007-04-01,2007-04-30,8.68e+14,0.004202,2.506e+17
2007-05-01,2007-05-31,7.826e+14,0.01486,2.364e+17
2007-06-01,2007-06-30,8.337e+14,0.01169,2.379e+17
2007-07-01,2007-07-31,9.417e+14,0.01014,2.484e+17
2007-08-01,2007-08-31,6.381e+14,0.005093,2.6e+17
2007-09-01,2007-09-30,9.624e+14,0.005804,2.582e+17
2007-10-01,2007-10-31,1.174e+15,0.07012,2.662e+17
2007-11-01,2007-11-30,1.081e+15,0.009474,2.655e+17
2007-12-01,2007-12-31,6.23e+14,0.005684,2.545e+17
2008-01-01,2008-01-31,5.116e+14,0.006847,2.647e+17
2008-02-01,2008-02-29,5.01e+14,0.004041,2.504e+17
2008-03-01,2008-03-31,8.203e+14,0.007402,2.381e+17
2008-04-01,2008-04-30,7.102e+14,0.005648,2.361e+17
2008-05-01,2008-05-31,5.599e+14,0.01163,2.372e+17
2008-06-01,2008-06-30,5.988e+14,0.09189,2.403e+17
2008-07-01,2008-07-31,6.032e+14,0.01287,2.487e+17
2008-08-01,2008-08-31,5.444e+14,0.01403,2.55e+17
2008-09-01,2008-09-30,7.006e+14,0.009358,2.527e+17
2008-10-01,2008-10-31,1.065e+15,0.1864,2.551e+17
