SiteName,Great Smokey Mountains
ShortName,Gt Smokey Mtn
SiteLongitude,-83.5300
SiteLatitude,35.6800
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,4.295e+15,0.001733,2.476e+17
2005-02-01,2005-02-28,3.995e+15,0.001671,2.365e+17
2005-03-01,2005-03-31,4.398e+15,0.001598,2.45e+17
2005-04-01,2005-04-30,4.368e+15,0.001587,2.339e+17
2005-05-01,2005-05-31,2.555e+15,0.001689,2.373e+17
2005-06-01,2005-06-30,2.964e+15,0.001656,2.372e+17
2005-07-01,2005-07-31,2.246e+15,0.001952,2.53e+17
2005-08-01,2005-08-31,2.83e+15,0.001638,2.577e+17
2005-09-01,2005-09-30,3.166e+15,0.001691,2.572e+17
2005-10-01,2005-10-31,4.003e+15,0.001673,2.589e+17
2005-11-01,2005-11-30,4.028e+15,0.001947,2.542e+17
2005-12-01,2005-12-31,4.523e+15,0.001705,2.459e+17
2006-01-01,2006-01-31,2.788e+15,0.001755,2.405e+17
2006-02-01,2006-02-28,3.88e+15,0.001864,2.271e+17
2006-03-01,2006-03-31,3.935e+15,0.001787,2.447e+17
2006-04-01,2006-04-30,3.489e+15,0.001721,2.464e+17
2006-05-01,2006-05-31,2.871e+15,0.001839,2.378e+17
2006-06-01,2006-06-30,2.718e+15,0.001667,2.423e+17
2006-07-01,2006-07-31,1.859e+15,0.001848,2.504e+17
2006-08-01,2006-08-31,2.544e+15,0.001738,2.593e+17
2006-09-01,2006-09-30,3.145e+15,0.001831,2.554e+17
2006-10-01,2006-10-31,3.161e+15,0.001813,2.58e+17
2006-11-01,2006-11-30,3.662e+15,0.001695,2.702e+17
2006-12-01,2006-12-31,3.943e+15,0.001491,2.565e+17
2007-01-01,2007-01-31,2.916e+15,0.001676,2.57e+17
2007-02-01,2007-02-28,3.857e+15,0.00163,2.511e+17
2007-03-01,2007-03-31,3.501e+15,0.001684,2.599e+17
2007-04-01,2007-04-30,3.226e+15,0.001708,2.511e+17
2007-05-01,2007-05-31,2.819e+15,0.001618,2.362e+17
2007-06-01,2007-06-30,2.735e+15,0.001603,2.399e+17
2007-07-01,2007-07-31,2.1e+15,0.001666,2.522e+17
2007-08-01,2007-08-31,2.661e+15,0.001746,2.608e+17
2007-09-01,2007-09-30,3.318e+15,0.001941,2.642e+17
2007-10-01,2007-10-31,4.515e+15,0.001673,2.62e+17
2007-11-01,2007-11-30,4.157e+15,0.001625,2.638e+17
2007-12-01,2007-12-31,2.378e+15,0.001634,2.501e+17
2008-01-01,2008-01-31,2.76e+15,0.001874,2.55e+17
2008-02-01,2008-02-29,3.061e+15,0.001789,2.405e+17
2008-03-01,2008-03-31,2.662e+15,0.001683,2.349e+17
2008-04-01,2008-04-30,2.778e+15,0.001708,2.366e+17
2008-05-01,2008-05-31,1.822e+15,0.001743,2.364e+17
2008-06-01,2008-06-30,1.971e+15,0.001752,2.44e+17
2008-07-01,2008-07-31,2.391e+15,0.001805,2.517e+17
2008-08-01,2008-08-31,2.804e+15,0.001723,2.586e+17
2008-09-01,2008-09-30,2.509e+15,0.001824,2.542e+17
2008-10-01,2008-10-31,2.64e+15,0.001616,2.561e+17
2008-11-01,2008-11-30,2.798e+15,0.001681,2.666e+17
2008-12-01,2008-12-31,2.361e+15,0.001594,2.445e+17
2009-01-01,2009-01-31,2.566e+15,0.001652,2.274e+17
2009-02-01,2009-02-28,2.676e+15,0.001628,2.401e+17
2009-03-01,2009-03-31,3.01e+15,0.001753,2.476e+17
2009-04-01,2009-04-30,2.68e+15,0.001744,2.514e+17
2009-05-01,2009-05-31,2.465e+15,0.001728,2.477e+17
2009-06-01,2009-06-30,2.343e+15,0.001912,2.464e+17
2009-07-01,2009-07-31,2.366e+15,0.001769,2.552e+17
2009-08-01,2009-08-31,2.028e+15,0.001599,2.678e+17
2009-09-01,2009-09-30,2.355e+15,0.001627,2.628e+17
2009-10-01,2009-10-31,2.604e+15,0.001517,2.58e+17
2009-11-01,2009-11-30,3.06e+15,0.001691,2.561e+17
2009-12-01,2009-12-31,2.581e+15,0.00153,2.186e+17
2010-01-01,2010-01-31,1.639e+15,0.001457,2.385e+17
2010-02-01,2010-02-28,2.247e+15,0.001706,2.4e+17
2010-03-01,2010-03-31,4.01e+15,0.002002,2.697e+17
2010-04-01,2010-04-30,2.725e+15,0.001785,2.599e+17
2010-05-01,2010-05-31,1.871e+15,0.001631,2.547e+17
2010-06-01,2010-06-30,2.291e+15,0.001854,2.57e+17
2010-07-01,2010-07-31,2.375e+15,0.001728,2.68e+17
2010-08-01,2010-08-31,2.43e+15,0.001892,2.732e+17
2010-09-01,2010-09-30,2.982e+15,0.001728,2.667e+17
2010-10-01,2010-10-31,2.692e+15,0.001509,2.484e+17
2010-11-01,2010-11-30,1.601e+15,0.001605,2.56e+17
2010-12-01,2010-12-31,4.013e+15,0.001352,2.302e+17
2011-01-01,2011-01-31,3.031e+15,0.001906,2.321e+17
2011-02-01,2011-02-28,2.891e+15,0.001793,2.367e+17
2011-03-01,2011-03-31,2.54e+15,0.001858,2.722e+17
2011-04-01,2011-04-30,2.895e+15,0.001751,2.635e+17
2011-05-01,2011-05-31,2.216e+15,0.001711,2.504e+17
2011-06-01,2011-06-30,1.829e+15,0.001799,2.549e+17
2011-07-01,2011-07-31,1.926e+15,0.001807,2.648e+17
2011-08-01,2011-08-31,2.805e+15,0.002055,2.719e+17
2011-09-01,2011-09-30,2.678e+15,0.001745,2.73e+17
2011-10-01,2011-10-31,2.873e+15,0.001754,2.643e+17
2011-11-01,2011-11-30,3.197e+15,0.001554,2.524e+17
2011-12-01,2011-12-31,3.576e+15,0.001627,2.271e+17
2012-01-01,2012-01-31,2.053e+15,0.001624,2.508e+17
2012-02-01,2012-02-29,2.046e+15,0.001689,2.302e+17
2012-03-01,2012-03-31,2.446e+15,0.001549,2.442e+17
2012-04-01,2012-04-30,2.875e+15,0.001709,2.521e+17
2012-05-01,2012-05-31,2.63e+15,0.001747,2.585e+17
2012-06-01,2012-06-30,2.864e+15,0.001874,2.649e+17
2012-07-01,2012-07-31,2.162e+15,0.002177,2.725e+17
2012-08-01,2012-08-31,2.7e+15,0.00184,2.814e+17
2012-09-01,2012-09-30,2.98e+15,0.001919,2.842e+17
2012-10-01,2012-10-31,2.978e+15,0.001628,2.718e+17
2012-11-01,2012-11-30,2.55e+15,0.001882,2.505e+17
2012-12-01,2012-12-31,3.542e+15,0.00145,2.312e+17
2013-01-01,2013-01-31,3.642e+15,0.00165,2.431e+17
2013-02-01,2013-02-28,2.816e+15,0.001813,2.584e+17
2013-03-01,2013-03-31,3.878e+15,0.001758,2.629e+17
2013-04-01,2013-04-30,3.344e+15,0.001824,2.656e+17
2013-05-01,2013-05-31,2.494e+15,0.001852,2.64e+17
2013-06-01,2013-06-30,1.941e+15,0.001578,2.65e+17
2013-07-01,2013-07-31,1.984e+15,0.001985,2.723e+17
2013-08-01,2013-08-31,2.547e+15,0.001893,2.78e+17
2013-09-01,2013-09-30,2.649e+15,0.001851,2.787e+17
2013-10-01,2013-10-31,2.728e+15,0.001848,2.78e+17
2013-11-01,2013-11-30,3.462e+15,0.001835,2.672e+17
2013-12-01,2013-12-31,3.231e+15,0.001849,2.69e+17
2014-01-01,2014-01-31,1.994e+15,0.001823,2.398e+17
2014-02-01,2014-02-28,2.605e+15,0.001823,2.677e+17
2014-03-01,2014-03-31,2.871e+15,0.001863,2.696e+17
2014-04-01,2014-04-30,2.654e+15,0.001926,2.57e+17
2014-05-01,2014-05-31,1.898e+15,0.001628,2.557e+17
2014-06-01,2014-06-30,2.261e+15,0.002034,2.536e+17
2014-07-01,2014-07-31,1.817e+15,0.002032,2.713e+17
2014-08-01,2014-08-31,2.502e+15,0.002174,2.81e+17
2014-09-01,2014-09-30,2.45e+15,0.001959,2.835e+17
2014-10-01,2014-10-31,2.612e+15,0.00177,2.732e+17
2014-11-01,2014-11-30,3.868e+15,0.001709,2.577e+17
2014-12-01,2014-12-31,2.765e+15,0.001356,2.258e+17
2015-01-01,2015-01-31,3.875e+15,0.001858,2.46e+17
2015-02-01,2015-02-28,2.828e+15,0.001701,2.655e+17
2015-03-01,2015-03-31,2.403e+15,0.001697,2.759e+17
2015-04-01,2015-04-30,3.328e+15,0.001938,2.664e+17
2015-05-01,2015-05-31,2.387e+15,0.001745,2.65e+17
2015-06-01,2015-06-30,2.322e+15,0.00193,2.709e+17
2015-07-01,2015-07-31,1.942e+15,0.001959,2.757e+17
2015-08-01,2015-08-31,2.448e+15,0.001942,2.836e+17
2015-09-01,2015-09-30,3.49e+15,0.001852,2.828e+17
2015-10-01,2015-10-31,2.734e+15,0.001821,2.635e+17
2015-11-01,2015-11-30,3.205e+15,0.001645,2.88e+17
2015-12-01,2015-12-31,2.997e+15,0.001861,2.605e+17
