SiteName,Hot Springs
ShortName,Hot Springs
SiteLongitude,-93.0500
SiteLatitude,34.5100
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,3.47e+15,0.001269,2.415e+17
2005-02-01,2005-02-28,2.644e+15,0.001212,2.401e+17
2005-03-01,2005-03-31,2.955e+15,0.00124,2.424e+17
2005-04-01,2005-04-30,3.127e+15,0.001265,2.364e+17
2005-05-01,2005-05-31,2.769e+15,0.001272,2.349e+17
2005-06-01,2005-06-30,2.023e+15,0.001325,2.395e+17
2005-07-01,2005-07-31,2.576e+15,0.001391,2.51e+17
2005-08-01,2005-08-31,3.8e+15,0.001387,2.553e+17
2005-09-01,2005-09-30,2.927e+15,0.001293,2.525e+17
2005-10-01,2005-10-31,3.764e+15,0.001248,2.587e+17
2005-11-01,2005-11-30,3.281e+15,0.001206,2.486e+17
2005-12-01,2005-12-31,4.05e+15,0.001258,2.496e+17
2006-01-01,2006-01-31,2.575e+15,0.00125,2.403e+17
2006-02-01,2006-02-28,4.449e+15,0.001246,2.279e+17
2006-03-01,2006-03-31,3.101e+15,0.001323,2.439e+17
2006-04-01,2006-04-30,2.597e+15,0.001325,2.437e+17
2006-05-01,2006-05-31,2.558e+15,0.001288,2.394e+17
2006-06-01,2006-06-30,2.062e+15,0.001364,2.392e+17
2006-07-01,2006-07-31,2.375e+15,0.001382,2.487e+17
2006-08-01,2006-08-31,3.49e+15,0.001411,2.563e+17
2006-09-01,2006-09-30,2.994e+15,0.001302,2.501e+17
2006-10-01,2006-10-31,3.218e+15,0.001265,2.537e+17
2006-11-01,2006-11-30,2.59e+15,0.001233,2.667e+17
2006-12-01,2006-12-31,2.858e+15,0.001227,2.512e+17
2007-01-01,2007-01-31,2.106e+15,0.001283,2.554e+17
2007-02-01,2007-02-28,3.635e+15,0.001245,2.455e+17
2007-03-01,2007-03-31,3.098e+15,0.001277,2.562e+17
2007-04-01,2007-04-30,3.06e+15,0.001308,2.466e+17
2007-05-01,2007-05-31,2.862e+15,0.001262,2.428e+17
2007-06-01,2007-06-30,1.788e+15,0.001335,2.393e+17
2007-07-01,2007-07-31,2.593e+15,0.001438,2.552e+17
2007-08-01,2007-08-31,3.419e+15,0.001401,2.582e+17
2007-09-01,2007-09-30,3.357e+15,0.001329,2.568e+17
2007-10-01,2007-10-31,3.615e+15,0.001262,2.571e+17
2007-11-01,2007-11-30,3.564e+15,0.00123,2.608e+17
2007-12-01,2007-12-31,3.154e+15,0.001208,2.455e+17
2008-01-01,2008-01-31,2.385e+15,0.001357,2.57e+17
2008-02-01,2008-02-29,3.008e+15,0.001292,2.448e+17
2008-03-01,2008-03-31,2.638e+15,0.001224,2.295e+17
2008-04-01,2008-04-30,2.584e+15,0.001302,2.314e+17
2008-05-01,2008-05-31,2.223e+15,0.001314,2.372e+17
2008-06-01,2008-06-30,1.424e+15,0.001349,2.438e+17
2008-07-01,2008-07-31,2.274e+15,0.001395,2.506e+17
2008-08-01,2008-08-31,2.993e+15,0.00141,2.557e+17
2008-09-01,2008-09-30,2.777e+15,0.001319,2.537e+17
2008-10-01,2008-10-31,2.462e+15,0.001277,2.605e+17
2008-11-01,2008-11-30,2.747e+15,0.001235,2.601e+17
2008-12-01,2008-12-31,3.007e+15,0.001228,2.573e+17
2009-01-01,2009-01-31,3.394e+15,0.001204,2.239e+17
2009-02-01,2009-02-28,3.104e+15,0.001288,2.398e+17
2009-03-01,2009-03-31,3.144e+15,0.001338,2.521e+17
2009-04-01,2009-04-30,2.556e+15,0.001331,2.47e+17
2009-05-01,2009-05-31,2.766e+15,0.001326,2.466e+17
2009-06-01,2009-06-30,1.648e+15,0.001381,2.466e+17
2009-07-01,2009-07-31,2.123e+15,0.001442,2.556e+17
2009-08-01,2009-08-31,2.777e+15,0.001422,2.592e+17
2009-09-01,2009-09-30,3.188e+15,0.001365,2.61e+17
2009-10-01,2009-10-31,2.994e+15,0.001299,2.51e+17
2009-11-01,2009-11-30,2.791e+15,0.001234,2.454e+17
2009-12-01,2009-12-31,3.321e+15,0.001301,2.47e+17
2010-01-01,2010-01-31,2.226e+15,0.001278,2.336e+17
2010-02-01,2010-02-28,3.485e+15,0.001256,2.362e+17
2010-03-01,2010-03-31,3.04e+15,0.001372,2.606e+17
2010-04-01,2010-04-30,3.444e+15,0.00138,2.591e+17
2010-05-01,2010-05-31,2.349e+15,0.001384,2.468e+17
2010-06-01,2010-06-30,1.624e+15,0.001412,2.551e+17
2010-07-01,2010-07-31,2.267e+15,0.001531,2.68e+17
2010-08-01,2010-08-31,3.036e+15,0.001511,2.675e+17
2010-09-01,2010-09-30,3.361e+15,0.001374,2.624e+17
2010-10-01,2010-10-31,2.211e+15,0.001333,2.454e+17
2010-11-01,2010-11-30,2.585e+15,0.001303,2.546e+17
2010-12-01,2010-12-31,4.069e+15,0.001395,2.441e+17
2011-01-01,2011-01-31,2.746e+15,0.001409,2.551e+17
2011-02-01,2011-02-28,3.484e+15,0.001237,2.421e+17
2011-03-01,2011-03-31,2.824e+15,0.001445,2.683e+17
2011-04-01,2011-04-30,2.546e+15,0.001345,2.567e+17
2011-05-01,2011-05-31,1.915e+15,0.001402,2.474e+17
2011-06-01,2011-06-30,1.616e+15,0.001457,2.481e+17
2011-07-01,2011-07-31,2.609e+15,0.001518,2.619e+17
2011-08-01,2011-08-31,2.644e+15,0.001551,2.715e+17
2011-09-01,2011-09-30,3.079e+15,0.001377,2.651e+17
2011-10-01,2011-10-31,2.899e+15,0.001341,2.568e+17
2011-11-01,2011-11-30,3.039e+15,0.001279,2.451e+17
2011-12-01,2011-12-31,2.561e+15,0.001214,2.431e+17
2012-01-01,2012-01-31,2.311e+15,0.00132,2.522e+17
2012-02-01,2012-02-29,2.459e+15,0.001261,2.261e+17
2012-03-01,2012-03-31,3.227e+15,0.001284,2.466e+17
2012-04-01,2012-04-30,3.394e+15,0.001361,2.453e+17
2012-05-01,2012-05-31,2.385e+15,0.00138,2.576e+17
2012-06-01,2012-06-30,2.246e+15,0.001482,2.561e+17
2012-07-01,2012-07-31,2.382e+15,0.001514,2.666e+17
2012-08-01,2012-08-31,3.52e+15,0.001532,2.784e+17
2012-09-01,2012-09-30,3.222e+15,0.001491,2.793e+17
2012-10-01,2012-10-31,4.022e+15,0.001353,2.678e+17
2012-11-01,2012-11-30,2.691e+15,0.001293,2.536e+17
2012-12-01,2012-12-31,2.489e+15,0.001307,2.382e+17
2013-01-01,2013-01-31,2.954e+15,0.001487,2.447e+17
2013-02-01,2013-02-28,2.775e+15,0.001426,2.484e+17
2013-03-01,2013-03-31,3.601e+15,0.001507,2.745e+17
2013-04-01,2013-04-30,2.74e+15,0.001417,2.597e+17
2013-05-01,2013-05-31,2.618e+15,0.001412,2.54e+17
2013-06-01,2013-06-30,1.736e+15,0.001424,2.585e+17
2013-07-01,2013-07-31,2.862e+15,0.001516,2.665e+17
2013-08-01,2013-08-31,3.036e+15,0.00154,2.8e+17
2013-09-01,2013-09-30,3.417e+15,0.001469,2.766e+17
2013-10-01,2013-10-31,2.187e+15,0.001441,2.879e+17
2013-11-01,2013-11-30,2.973e+15,0.001373,2.677e+17
2013-12-01,2013-12-31,2.665e+15,0.001422,2.465e+17
2014-01-01,2014-01-31,2.483e+15,0.001426,2.547e+17
2014-02-01,2014-02-28,3.179e+15,0.001347,2.435e+17
2014-03-01,2014-03-31,2.312e+15,0.001359,2.776e+17
2014-04-01,2014-04-30,2.581e+15,0.001402,2.578e+17
2014-05-01,2014-05-31,2.231e+15,0.001436,2.497e+17
2014-06-01,2014-06-30,1.56e+15,0.001442,2.552e+17
2014-07-01,2014-07-31,2.191e+15,0.00161,2.679e+17
2014-08-01,2014-08-31,3.082e+15,0.001532,2.756e+17
2014-09-01,2014-09-30,2.768e+15,0.001448,2.783e+17
2014-10-01,2014-10-31,2.706e+15,0.0014,2.752e+17
2014-11-01,2014-11-30,4.047e+15,0.001305,2.611e+17
2014-12-01,2014-12-31,3.286e+15,0.001193,2.307e+17
2015-01-01,2015-01-31,3.429e+15,0.001422,2.438e+17
2015-02-01,2015-02-28,2.744e+15,0.001421,2.776e+17
2015-03-01,2015-03-31,3.192e+15,0.001421,2.832e+17
2015-04-01,2015-04-30,4.017e+15,0.001475,2.492e+17
2015-05-01,2015-05-31,3.078e+15,0.001436,2.533e+17
2015-06-01,2015-06-30,1.8e+15,0.001539,2.583e+17
2015-07-01,2015-07-31,2.002e+15,0.001577,2.683e+17
2015-08-01,2015-08-31,3.444e+15,0.001599,2.775e+17
2015-09-01,2015-09-30,3.288e+15,0.001491,2.812e+17
2015-10-01,2015-10-31,3.125e+15,0.001351,2.675e+17
2015-11-01,2015-11-30,2.647e+15,0.001493,2.816e+17
2015-12-01,2015-12-31,2.569e+15,0.00134,2.544e+17
