SiteName,Isle Royale
ShortName,Isle Royale
SiteLongitude,-88.5500
SiteLatitude,48.1000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,5.986e+14,0.001342,2.44e+17
2005-02-01,2005-02-28,1.018e+15,0.001296,2.428e+17
2005-03-01,2005-03-31,1.06e+15,0.001286,2.583e+17
2005-04-01,2005-04-30,9.627e+14,0.001188,2.294e+17
2005-05-01,2005-05-31,7.141e+14,0.001199,2.255e+17
2005-06-01,2005-06-30,7.874e+14,0.001258,2.228e+17
2005-07-01,2005-07-31,5.337e+14,0.0013,2.271e+17
2005-08-01,2005-08-31,9.58e+14,0.001369,2.386e+17
2005-09-01,2005-09-30,1.293e+15,0.001348,2.523e+17
2005-10-01,2005-10-31,2.11e+15,0.001309,2.723e+17
2005-11-01,2005-11-30,3.015e+15,0.001344,2.792e+17
2005-12-01,2005-12-31,1.855e+15,0.001228,2.464e+17
2006-01-01,2006-01-31,8.992e+14,0.001454,2.639e+17
2006-02-01,2006-02-28,9.787e+14,0.001304,2.658e+17
2006-03-01,2006-03-31,1.188e+15,0.001206,2.601e+17
2006-04-01,2006-04-30,1.471e+15,0.001255,2.442e+17
2006-05-01,2006-05-31,8.245e+14,0.001202,2.284e+17
2006-06-01,2006-06-30,5.195e+14,0.00127,2.256e+17
2006-07-01,2006-07-31,6.395e+14,0.001286,2.278e+17
2006-08-01,2006-08-31,7.587e+14,0.001369,2.427e+17
2006-09-01,2006-09-30,1.098e+15,0.001331,2.487e+17
2006-10-01,2006-10-31,1.755e+15,0.001284,2.678e+17
2006-11-01,2006-11-30,2.545e+15,0.001315,3.022e+17
2006-12-01,2006-12-31,2.289e+15,0.001355,2.688e+17
2007-01-01,2007-01-31,1.024e+15,0.001524,2.879e+17
2007-02-01,2007-02-28,8.283e+14,0.001296,2.496e+17
2007-03-01,2007-03-31,8.36e+14,0.001343,2.766e+17
2007-04-01,2007-04-30,1.269e+15,0.00121,2.411e+17
2007-05-01,2007-05-31,6.971e+14,0.001212,2.289e+17
2007-06-01,2007-06-30,6.084e+14,0.001269,2.23e+17
2007-07-01,2007-07-31,5.084e+14,0.001316,2.325e+17
2007-08-01,2007-08-31,9.248e+14,0.001388,2.43e+17
2007-09-01,2007-09-30,1.294e+15,0.001367,2.607e+17
2007-10-01,2007-10-31,1.679e+15,0.001359,2.812e+17
2007-11-01,2007-11-30,1.502e+15,0.001298,2.678e+17
2007-12-01,2007-12-31,4.635e+14,0.001339,2.79e+17
2008-01-01,2008-01-31,5.509e+14,0.00144,2.731e+17
2008-02-01,2008-02-29,8.434e+14,0.001319,2.562e+17
2008-03-01,2008-03-31,7.208e+14,0.001221,2.595e+17
2008-04-01,2008-04-30,1.213e+15,0.001248,2.515e+17
2008-05-01,2008-05-31,6.279e+14,0.001221,2.281e+17
2008-06-01,2008-06-30,6.071e+14,0.001293,2.236e+17
2008-07-01,2008-07-31,6.562e+14,0.001315,2.317e+17
2008-08-01,2008-08-31,7.55e+14,0.00138,2.42e+17
2008-09-01,2008-09-30,1.21e+15,0.001309,2.454e+17
2008-10-01,2008-10-31,1.748e+15,0.001341,2.735e+17
2008-11-01,2008-11-30,1.013e+15,0.00135,2.829e+17
2008-12-01,2008-12-31,1.288e+15,0.00131,2.769e+17
2009-01-01,2009-01-31,7.71e+14,0.001231,2.366e+17
2009-02-01,2009-02-28,3.838e+14,0.001212,2.468e+17
2009-03-01,2009-03-31,6.521e+14,0.001152,2.316e+17
2009-04-01,2009-04-30,1.416e+15,0.001265,2.464e+17
2009-05-01,2009-05-31,7.355e+14,0.001243,2.303e+17
2009-06-01,2009-06-30,4.738e+14,0.00132,2.251e+17
2009-07-01,2009-07-31,5.115e+14,0.00134,2.33e+17
2009-08-01,2009-08-31,1.183e+15,0.0014,2.422e+17
2009-09-01,2009-09-30,1.237e+15,0.00139,2.513e+17
2009-10-01,2009-10-31,1.852e+15,0.001263,2.542e+17
2009-11-01,2009-11-30,1.925e+15,0.001072,2.303e+17
2009-12-01,2009-12-31,1.296e+15,0.001159,2.479e+17
2010-01-01,2010-01-31,9.06e+14,0.001211,2.304e+17
2010-02-01,2010-02-28,1.289e+15,0.001402,2.522e+17
2010-03-01,2010-03-31,1.232e+15,0.001184,2.626e+17
2010-04-01,2010-04-30,1.117e+15,0.001279,2.612e+17
2010-05-01,2010-05-31,7.924e+14,0.00128,2.398e+17
2010-06-01,2010-06-30,4.093e+14,0.001368,2.323e+17
2010-07-01,2010-07-31,6.067e+14,0.001431,2.387e+17
2010-08-01,2010-08-31,9.6e+14,0.001462,2.49e+17
2010-09-01,2010-09-30,1.521e+15,0.001399,2.479e+17
2010-10-01,2010-10-31,1.538e+15,0.00128,2.555e+17
2010-11-01,2010-11-30,2.056e+15,0.001388,2.545e+17
2010-12-01,2010-12-31,1.44e+15,0.001262,2.693e+17
2011-01-01,2011-01-31,1.083e+15,0.001341,2.731e+17
2011-02-01,2011-02-28,9.47e+14,0.001465,2.392e+17
2011-03-01,2011-03-31,9.216e+14,0.001288,2.712e+17
2011-04-01,2011-04-30,1.724e+15,0.001343,2.618e+17
2011-05-01,2011-05-31,7.541e+14,0.001297,2.385e+17
2011-06-01,2011-06-30,5.732e+14,0.00138,2.373e+17
2011-07-01,2011-07-31,5.48e+14,0.001453,2.447e+17
2011-08-01,2011-08-31,9.559e+14,0.001517,2.506e+17
2011-09-01,2011-09-30,1.623e+15,0.001374,2.531e+17
2011-10-01,2011-10-31,1.641e+15,0.00137,2.682e+17
2011-11-01,2011-11-30,2.608e+15,0.001414,2.773e+17
2011-12-01,2011-12-31,1.436e+15,0.001474,2.644e+17
2012-01-01,2012-01-31,1.484e+15,0.00132,2.636e+17
2012-02-01,2012-02-29,1.457e+15,0.001245,2.779e+17
2012-03-01,2012-03-31,1.135e+15,0.001237,2.481e+17
2012-04-01,2012-04-30,1.074e+15,0.001344,2.472e+17
2012-05-01,2012-05-31,6.072e+14,0.001371,2.446e+17
2012-06-01,2012-06-30,5.692e+14,0.001398,2.384e+17
2012-07-01,2012-07-31,5.402e+14,0.001466,2.495e+17
2012-08-01,2012-08-31,9.25e+14,0.001517,2.57e+17
2012-09-01,2012-09-30,1.146e+15,0.001337,2.548e+17
2012-10-01,2012-10-31,1.669e+15,0.001207,2.615e+17
2012-11-01,2012-11-30,1.762e+15,0.001343,2.766e+17
2012-12-01,2012-12-31,1.612e+15,0.001155,2.383e+17
2013-01-01,2013-01-31,1.225e+15,0.00156,2.548e+17
2013-02-01,2013-02-28,9.115e+14,0.001477,2.673e+17
2013-03-01,2013-03-31,1.375e+15,0.001348,2.647e+17
2013-04-01,2013-04-30,1.325e+15,0.001404,2.596e+17
2013-05-01,2013-05-31,7.167e+14,0.001389,2.465e+17
2013-06-01,2013-06-30,3.989e+14,0.001412,2.428e+17
2013-07-01,2013-07-31,5.253e+14,0.001437,2.477e+17
2013-08-01,2013-08-31,7.27e+14,0.001531,2.591e+17
2013-09-01,2013-09-30,1.154e+15,0.001476,2.649e+17
2013-10-01,2013-10-31,1.948e+15,0.001534,2.723e+17
2013-11-01,2013-11-30,1.741e+15,0.001482,2.882e+17
2013-12-01,2013-12-31,4.413e+14,0.001766,3.273e+17
2014-01-01,2014-01-31,7.483e+14,NaN,NaN
2014-02-01,2014-02-28,8.03e+14,NaN,NaN
2014-03-01,2014-03-31,5.302e+14,NaN,NaN
2014-04-01,2014-04-30,9.726e+14,0.001383,2.575e+17
2014-05-01,2014-05-31,8.141e+14,0.001384,2.507e+17
2014-06-01,2014-06-30,7.562e+14,0.001406,2.435e+17
2014-07-01,2014-07-31,7.547e+14,0.001454,2.519e+17
2014-08-01,2014-08-31,6.68e+14,0.001574,2.583e+17
2014-09-01,2014-09-30,1.004e+15,0.001383,2.657e+17
2014-10-01,2014-10-31,1.674e+15,0.001571,2.866e+17
2014-11-01,2014-11-30,1.278e+15,0.001743,2.769e+17
2014-12-01,2014-12-31,1.686e+15,0.001394,2.316e+17
2015-01-01,2015-01-31,8.971e+14,0.001268,3.148e+17
2015-02-01,2015-02-28,3.353e+14,NaN,NaN
2015-03-01,2015-03-31,7.597e+14,0.001384,2.547e+17
2015-04-01,2015-04-30,1.243e+15,0.001402,2.703e+17
2015-05-01,2015-05-31,5.803e+14,0.001368,2.556e+17
2015-06-01,2015-06-30,5.91e+14,0.001475,2.49e+17
2015-07-01,2015-07-31,6.082e+14,0.001476,2.536e+17
2015-08-01,2015-08-31,9.148e+14,0.001535,2.612e+17
2015-09-01,2015-09-30,1.481e+15,0.001499,2.752e+17
2015-10-01,2015-10-31,1.161e+15,0.001443,2.698e+17
2015-11-01,2015-11-30,2.156e+15,0.001289,2.691e+17
2015-12-01,2015-12-31,2.181e+15,0.001765,2.813e+17
