SiteName,Mt Rushmore
ShortName,Mt Rushmore
SiteLongitude,-103.4600
SiteLatitude,43.8700
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.314e+15,0.002876,2.535e+17
2005-02-01,2005-02-28,1.163e+15,0.002839,2.611e+17
2005-03-01,2005-03-31,1.004e+15,0.00297,2.624e+17
2005-04-01,2005-04-30,1.058e+15,0.002818,2.359e+17
2005-05-01,2005-05-31,9.92e+14,0.002708,2.267e+17
2005-06-01,2005-06-30,1.222e+15,0.002886,2.28e+17
2005-07-01,2005-07-31,8.83e+14,0.003272,2.377e+17
2005-08-01,2005-08-31,1.036e+15,0.00306,2.451e+17
2005-09-01,2005-09-30,1.123e+15,0.003096,2.54e+17
2005-10-01,2005-10-31,1.23e+15,0.002918,2.703e+17
2005-11-01,2005-11-30,1.093e+15,0.002826,2.749e+17
2005-12-01,2005-12-31,9.991e+14,0.0029,2.663e+17
2006-01-01,2006-01-31,9.451e+14,0.003004,2.594e+17
2006-02-01,2006-02-28,1.107e+15,0.002665,2.563e+17
2006-03-01,2006-03-31,9.308e+14,0.002625,2.545e+17
2006-04-01,2006-04-30,1.205e+15,0.002892,2.419e+17
2006-05-01,2006-05-31,9.311e+14,0.002828,2.327e+17
2006-06-01,2006-06-30,1.155e+15,0.003023,2.302e+17
2006-07-01,2006-07-31,1.049e+15,0.002862,2.341e+17
2006-08-01,2006-08-31,1.018e+15,0.00303,2.478e+17
2006-09-01,2006-09-30,1.355e+15,0.002934,2.512e+17
2006-10-01,2006-10-31,1.605e+15,0.002859,2.7e+17
2006-11-01,2006-11-30,1.294e+15,0.002832,2.818e+17
2006-12-01,2006-12-31,8.931e+14,0.00298,2.733e+17
2007-01-01,2007-01-31,7.037e+14,0.003347,2.773e+17
2007-02-01,2007-02-28,1.002e+15,0.002929,2.679e+17
2007-03-01,2007-03-31,1.095e+15,0.003034,2.751e+17
2007-04-01,2007-04-30,9.424e+14,0.002939,2.47e+17
2007-05-01,2007-05-31,1.106e+15,0.002636,2.288e+17
2007-06-01,2007-06-30,1.18e+15,0.003027,2.303e+17
2007-07-01,2007-07-31,9.193e+14,0.003092,2.387e+17
2007-08-01,2007-08-31,1.427e+15,0.003062,2.486e+17
2007-09-01,2007-09-30,1.15e+15,0.00285,2.553e+17
2007-10-01,2007-10-31,1.402e+15,0.002694,2.767e+17
2007-11-01,2007-11-30,9.813e+14,0.002908,2.76e+17
2007-12-01,2007-12-31,7.751e+14,0.002919,2.72e+17
2008-01-01,2008-01-31,7.641e+14,0.00369,2.738e+17
2008-02-01,2008-02-29,1.021e+15,0.003645,2.607e+17
2008-03-01,2008-03-31,1.019e+15,0.002955,2.54e+17
2008-04-01,2008-04-30,1.014e+15,0.002817,2.408e+17
2008-05-01,2008-05-31,9.142e+14,0.002768,2.322e+17
2008-06-01,2008-06-30,1.145e+15,0.003252,2.322e+17
2008-07-01,2008-07-31,6.706e+14,0.003078,2.397e+17
2008-08-01,2008-08-31,1.022e+15,0.003171,2.462e+17
2008-09-01,2008-09-30,1.181e+15,0.002617,2.42e+17
2008-10-01,2008-10-31,1.42e+15,0.002749,2.632e+17
2008-11-01,2008-11-30,1.065e+15,0.002914,2.728e+17
2008-12-01,2008-12-31,9.153e+14,0.003213,2.856e+17
2009-01-01,2009-01-31,7.764e+14,0.003008,2.416e+17
2009-02-01,2009-02-28,1.307e+15,0.002812,2.274e+17
2009-03-01,2009-03-31,1.052e+15,0.002819,2.439e+17
2009-04-01,2009-04-30,1.267e+15,0.003049,2.51e+17
2009-05-01,2009-05-31,9.023e+14,0.002697,2.4e+17
2009-06-01,2009-06-30,1.29e+15,0.002961,2.354e+17
2009-07-01,2009-07-31,7.871e+14,0.003049,2.379e+17
2009-08-01,2009-08-31,1.179e+15,0.002896,2.504e+17
2009-09-01,2009-09-30,1.406e+15,0.00296,2.498e+17
2009-10-01,2009-10-31,1.812e+15,0.00345,2.689e+17
2009-11-01,2009-11-30,1.3e+15,0.002918,2.692e+17
2009-12-01,2009-12-31,6.647e+14,0.003005,2.444e+17
2010-01-01,2010-01-31,8.501e+14,0.003161,2.468e+17
2010-02-01,2010-02-28,7.161e+14,0.003082,2.556e+17
2010-03-01,2010-03-31,1.224e+15,0.002619,2.658e+17
2010-04-01,2010-04-30,1.244e+15,0.00262,2.553e+17
2010-05-01,2010-05-31,9.795e+14,0.002784,2.37e+17
2010-06-01,2010-06-30,1.013e+15,0.002937,2.438e+17
2010-07-01,2010-07-31,6.874e+14,0.00298,2.506e+17
2010-08-01,2010-08-31,1.091e+15,0.003186,2.553e+17
2010-09-01,2010-09-30,1.163e+15,0.003207,2.598e+17
2010-10-01,2010-10-31,1.566e+15,0.0026,2.537e+17
2010-11-01,2010-11-30,8.883e+14,0.00312,2.59e+17
2010-12-01,2010-12-31,6.662e+14,0.002969,2.546e+17
2011-01-01,2011-01-31,6.99e+14,0.003813,2.572e+17
2011-02-01,2011-02-28,7.138e+14,0.00302,2.601e+17
2011-03-01,2011-03-31,1.115e+15,0.003152,2.772e+17
2011-04-01,2011-04-30,1.202e+15,0.002649,2.626e+17
2011-05-01,2011-05-31,9.868e+14,0.002838,2.377e+17
2011-06-01,2011-06-30,1.154e+15,0.003036,2.426e+17
2011-07-01,2011-07-31,7.41e+14,0.003265,2.561e+17
2011-08-01,2011-08-31,9.953e+14,0.003274,2.651e+17
2011-09-01,2011-09-30,1.053e+15,0.003103,2.554e+17
2011-10-01,2011-10-31,1.527e+15,0.003131,2.597e+17
2011-11-01,2011-11-30,1.186e+15,0.002927,2.667e+17
2011-12-01,2011-12-31,1.156e+15,0.003028,2.627e+17
2012-01-01,2012-01-31,9.416e+14,0.003408,2.533e+17
2012-02-01,2012-02-29,8.834e+14,0.003135,2.693e+17
2012-03-01,2012-03-31,7.151e+14,0.002893,2.535e+17
2012-04-01,2012-04-30,9.51e+14,0.002703,2.503e+17
2012-05-01,2012-05-31,1.122e+15,0.003028,2.451e+17
2012-06-01,2012-06-30,1.099e+15,0.003668,2.435e+17
2012-07-01,2012-07-31,1.116e+15,0.00328,2.622e+17
2012-08-01,2012-08-31,1.002e+15,0.003398,2.662e+17
2012-09-01,2012-09-30,1.111e+15,0.003525,2.656e+17
2012-10-01,2012-10-31,1.556e+15,0.002988,2.722e+17
2012-11-01,2012-11-30,1.428e+15,0.003158,2.771e+17
2012-12-01,2012-12-31,9.405e+14,0.002824,2.704e+17
2013-01-01,2013-01-31,9.37e+14,0.003538,2.444e+17
2013-02-01,2013-02-28,8.021e+14,0.002757,2.644e+17
2013-03-01,2013-03-31,1.381e+15,0.003071,2.693e+17
2013-04-01,2013-04-30,9.299e+14,0.003306,2.554e+17
2013-05-01,2013-05-31,1.126e+15,0.002905,2.488e+17
2013-06-01,2013-06-30,1.04e+15,0.003113,2.489e+17
2013-07-01,2013-07-31,9.088e+14,0.003358,2.585e+17
2013-08-01,2013-08-31,1.107e+15,0.003821,2.676e+17
2013-09-01,2013-09-30,1.142e+15,0.003063,2.634e+17
2013-10-01,2013-10-31,1.214e+15,0.002905,2.646e+17
2013-11-01,2013-11-30,1.281e+15,0.003303,2.716e+17
2013-12-01,2013-12-31,1.002e+15,0.003224,2.589e+17
2014-01-01,2014-01-31,7.4e+14,0.004097,2.499e+17
2014-02-01,2014-02-28,8.04e+14,0.003691,2.642e+17
2014-03-01,2014-03-31,9.462e+14,0.003565,2.845e+17
2014-04-01,2014-04-30,1.259e+15,0.002871,2.639e+17
2014-05-01,2014-05-31,1.029e+15,0.003359,2.508e+17
2014-06-01,2014-06-30,1.428e+15,0.003062,2.426e+17
2014-07-01,2014-07-31,1.082e+15,0.003007,2.588e+17
2014-08-01,2014-08-31,1.126e+15,0.003407,2.668e+17
2014-09-01,2014-09-30,1.022e+15,0.003591,2.693e+17
2014-10-01,2014-10-31,1.452e+15,0.003062,2.749e+17
2014-11-01,2014-11-30,8.766e+14,0.002828,2.735e+17
2014-12-01,2014-12-31,1.327e+15,0.003011,2.713e+17
2015-01-01,2015-01-31,1.27e+15,0.003622,2.498e+17
2015-02-01,2015-02-28,1.174e+15,0.003474,2.842e+17
2015-03-01,2015-03-31,1.08e+15,0.003175,2.912e+17
2015-04-01,2015-04-30,9.356e+14,0.003084,2.66e+17
2015-05-01,2015-05-31,1.036e+15,0.002806,2.57e+17
2015-06-01,2015-06-30,6.791e+14,0.003182,2.558e+17
2015-07-01,2015-07-31,8.97e+14,0.003297,2.645e+17
2015-08-01,2015-08-31,1.306e+15,0.004226,2.653e+17
2015-09-01,2015-09-30,1.176e+15,0.003325,2.693e+17
2015-10-01,2015-10-31,1.482e+15,0.003311,2.742e+17
2015-11-01,2015-11-30,1.208e+15,0.003023,2.759e+17
2015-12-01,2015-12-31,1.012e+15,0.002931,2.685e+17
