SiteName,Petrified Forest
ShortName,Petrified Forest
SiteLongitude,-109.7800
SiteLatitude,35.0700
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.799e+15,0.003696,2.444e+17
2005-02-01,2005-02-28,1.464e+15,0.003521,2.455e+17
2005-03-01,2005-03-31,1.322e+15,0.003497,2.49e+17
2005-04-01,2005-04-30,1.328e+15,0.003572,2.382e+17
2005-05-01,2005-05-31,1.336e+15,0.003667,2.361e+17
2005-06-01,2005-06-30,1.188e+15,0.003693,2.363e+17
2005-07-01,2005-07-31,1.501e+15,0.004026,2.498e+17
2005-08-01,2005-08-31,1.097e+15,0.004014,2.557e+17
2005-09-01,2005-09-30,1.298e+15,0.00376,2.595e+17
2005-10-01,2005-10-31,1.612e+15,0.003774,2.609e+17
2005-11-01,2005-11-30,1.964e+15,0.003494,2.503e+17
2005-12-01,2005-12-31,1.796e+15,0.003609,2.527e+17
2006-01-01,2006-01-31,1.563e+15,0.003817,2.477e+17
2006-02-01,2006-02-28,1.399e+15,0.003658,2.368e+17
2006-03-01,2006-03-31,1.229e+15,0.003861,2.513e+17
2006-04-01,2006-04-30,1.225e+15,0.003704,2.449e+17
2006-05-01,2006-05-31,1.392e+15,0.003509,2.404e+17
2006-06-01,2006-06-30,1.454e+15,0.003954,2.407e+17
2006-07-01,2006-07-31,1.546e+15,0.003984,2.456e+17
2006-08-01,2006-08-31,7.43e+14,0.003973,2.563e+17
2006-09-01,2006-09-30,1.389e+15,0.003695,2.51e+17
2006-10-01,2006-10-31,1.684e+15,0.003703,2.651e+17
2006-11-01,2006-11-30,1.408e+15,0.003564,2.642e+17
2006-12-01,2006-12-31,1.688e+15,0.003408,2.591e+17
2007-01-01,2007-01-31,1.382e+15,0.003806,2.57e+17
2007-02-01,2007-02-28,1.374e+15,0.003681,2.533e+17
2007-03-01,2007-03-31,1.152e+15,0.003813,2.665e+17
2007-04-01,2007-04-30,1.424e+15,0.003636,2.529e+17
2007-05-01,2007-05-31,1.334e+15,0.003635,2.396e+17
2007-06-01,2007-06-30,1.404e+15,0.003872,2.391e+17
2007-07-01,2007-07-31,1.588e+15,0.0042,2.576e+17
2007-08-01,2007-08-31,1.136e+15,0.004129,2.569e+17
2007-09-01,2007-09-30,1.334e+15,0.003767,2.622e+17
2007-10-01,2007-10-31,1.528e+15,0.003743,2.658e+17
2007-11-01,2007-11-30,1.768e+15,0.00352,2.617e+17
2007-12-01,2007-12-31,1.139e+15,0.003468,2.569e+17
2008-01-01,2008-01-31,1.274e+15,0.003775,2.605e+17
2008-02-01,2008-02-29,1.236e+15,0.00388,2.458e+17
2008-03-01,2008-03-31,1.098e+15,0.003636,2.354e+17
2008-04-01,2008-04-30,1.073e+15,0.003683,2.377e+17
2008-05-01,2008-05-31,1.023e+15,0.003491,2.375e+17
2008-06-01,2008-06-30,1.077e+15,0.003825,2.425e+17
2008-07-01,2008-07-31,1.208e+15,0.003551,2.437e+17
2008-08-01,2008-08-31,8.761e+14,0.004106,2.574e+17
2008-09-01,2008-09-30,1.096e+15,0.003743,2.557e+17
2008-10-01,2008-10-31,1.338e+15,0.003698,2.592e+17
2008-11-01,2008-11-30,1.387e+15,0.003543,2.606e+17
2008-12-01,2008-12-31,1.217e+15,0.00369,2.609e+17
2009-01-01,2009-01-31,1.406e+15,0.003669,2.309e+17
2009-02-01,2009-02-28,1.306e+15,0.003574,2.329e+17
2009-03-01,2009-03-31,1.307e+15,0.003609,2.49e+17
