SiteName,Rural Alabama
ShortName,Rural AL
SiteLongitude,-87.0000
SiteLatitude,33.0000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.688e+15,0.001233,2.394e+17
2005-02-01,2005-02-28,7.512e+15,0.001183,2.326e+17
2005-03-01,2005-03-31,4.459e+15,0.001209,2.422e+17
2005-04-01,2005-04-30,4.75e+15,0.001237,2.38e+17
2005-05-01,2005-05-31,4.21e+15,0.00126,2.397e+17
2005-06-01,2005-06-30,3.789e+15,0.00133,2.434e+17
2005-07-01,2005-07-31,3.311e+15,0.001369,2.555e+17
2005-08-01,2005-08-31,5.099e+15,0.001365,2.597e+17
2005-09-01,2005-09-30,4.761e+15,0.00128,2.568e+17
2005-10-01,2005-10-31,7.657e+15,0.001224,2.508e+17
2005-11-01,2005-11-30,5.663e+15,0.001182,2.456e+17
2005-12-01,2005-12-31,6.414e+15,0.001219,2.445e+17
2006-01-01,2006-01-31,4.181e+15,0.001213,2.357e+17
2006-02-01,2006-02-28,6.132e+15,0.001248,2.292e+17
2006-03-01,2006-03-31,5.941e+15,0.001303,2.468e+17
2006-04-01,2006-04-30,4.009e+15,0.001285,2.43e+17
2006-05-01,2006-05-31,3.552e+15,0.001283,2.423e+17
2006-06-01,2006-06-30,3.792e+15,0.001328,2.44e+17
2006-07-01,2006-07-31,2.882e+15,0.001352,2.516e+17
2006-08-01,2006-08-31,4.321e+15,0.001374,2.582e+17
2006-09-01,2006-09-30,3.949e+15,0.001265,2.514e+17
2006-10-01,2006-10-31,5.811e+15,0.001222,2.514e+17
2006-11-01,2006-11-30,4.742e+15,0.001217,2.606e+17
2006-12-01,2006-12-31,5.65e+15,0.001179,2.489e+17
2007-01-01,2007-01-31,4.37e+15,0.001228,2.51e+17
2007-02-01,2007-02-28,6.267e+15,0.001222,2.422e+17
2007-03-01,2007-03-31,4.82e+15,0.001259,2.566e+17
2007-04-01,2007-04-30,4.753e+15,0.001265,2.48e+17
2007-05-01,2007-05-31,4.352e+15,0.001257,2.419e+17
2007-06-01,2007-06-30,3.699e+15,0.001329,2.455e+17
2007-07-01,2007-07-31,3.344e+15,0.00141,2.633e+17
2007-08-01,2007-08-31,4.413e+15,0.001358,2.615e+17
2007-09-01,2007-09-30,4.148e+15,0.001298,2.584e+17
2007-10-01,2007-10-31,5.523e+15,0.001256,2.566e+17
2007-11-01,2007-11-30,5.793e+15,0.001225,2.579e+17
2007-12-01,2007-12-31,4.859e+15,0.001192,2.459e+17
2008-01-01,2008-01-31,4.23e+15,0.001303,2.51e+17
2008-02-01,2008-02-29,3.415e+15,0.001271,2.46e+17
2008-03-01,2008-03-31,4.226e+15,0.001228,2.276e+17
2008-04-01,2008-04-30,3.918e+15,0.001288,2.374e+17
2008-05-01,2008-05-31,2.866e+15,0.001285,2.422e+17
2008-06-01,2008-06-30,2.923e+15,0.001347,2.475e+17
2008-07-01,2008-07-31,3.364e+15,0.00138,2.559e+17
2008-08-01,2008-08-31,3.536e+15,0.001395,2.652e+17
2008-09-01,2008-09-30,4.323e+15,0.001279,2.547e+17
2008-10-01,2008-10-31,4.298e+15,0.001258,2.589e+17
2008-11-01,2008-11-30,4.785e+15,0.001146,2.493e+17
2008-12-01,2008-12-31,5.265e+15,0.001164,2.418e+17
2009-01-01,2009-01-31,5.184e+15,0.001213,2.277e+17
2009-02-01,2009-02-28,4.715e+15,0.001237,2.321e+17
2009-03-01,2009-03-31,3.418e+15,0.001268,2.472e+17
2009-04-01,2009-04-30,3.436e+15,0.001332,2.513e+17
2009-05-01,2009-05-31,3.159e+15,0.001303,2.506e+17
2009-06-01,2009-06-30,2.597e+15,0.001384,2.483e+17
2009-07-01,2009-07-31,2.704e+15,0.001405,2.555e+17
2009-08-01,2009-08-31,3.316e+15,0.001452,2.702e+17
2009-09-01,2009-09-30,3.184e+15,0.001326,2.67e+17
2009-10-01,2009-10-31,3.66e+15,0.001265,2.525e+17
2009-11-01,2009-11-30,4.131e+15,0.00127,2.508e+17
2009-12-01,2009-12-31,5.545e+15,0.001233,2.214e+17
2010-01-01,2010-01-31,4.309e+15,0.00122,2.326e+17
2010-02-01,2010-02-28,4.44e+15,0.001227,2.267e+17
2010-03-01,2010-03-31,4.757e+15,0.001363,2.691e+17
2010-04-01,2010-04-30,3.376e+15,0.001399,2.599e+17
2010-05-01,2010-05-31,3.043e+15,0.001394,2.537e+17
2010-06-01,2010-06-30,2.554e+15,0.001432,2.558e+17
2010-07-01,2010-07-31,3.103e+15,0.001485,2.713e+17
2010-08-01,2010-08-31,4.127e+15,0.001513,2.742e+17
2010-09-01,2010-09-30,4.155e+15,0.001373,2.661e+17
2010-10-01,2010-10-31,3.347e+15,0.001327,2.606e+17
2010-11-01,2010-11-30,3.499e+15,0.001299,2.502e+17
2010-12-01,2010-12-31,6.048e+15,0.001298,2.389e+17
2011-01-01,2011-01-31,4.027e+15,0.00125,2.32e+17
2011-02-01,2011-02-28,4.324e+15,0.001164,2.339e+17
2011-03-01,2011-03-31,4.276e+15,0.001403,2.705e+17
2011-04-01,2011-04-30,2.839e+15,0.001352,2.594e+17
2011-05-01,2011-05-31,2.498e+15,0.001387,2.5e+17
2011-06-01,2011-06-30,2.989e+15,0.001463,2.53e+17
2011-07-01,2011-07-31,3.557e+15,0.001477,2.709e+17
2011-08-01,2011-08-31,4.37e+15,0.001502,2.744e+17
2011-09-01,2011-09-30,3.898e+15,0.001374,2.674e+17
2011-10-01,2011-10-31,3.937e+15,0.001341,2.693e+17
2011-11-01,2011-11-30,3.496e+15,0.001316,2.514e+17
2011-12-01,2011-12-31,4.32e+15,0.001194,2.336e+17
2012-01-01,2012-01-31,3.408e+15,0.001266,2.486e+17
2012-02-01,2012-02-29,3.834e+15,0.001337,2.36e+17
2012-03-01,2012-03-31,4.393e+15,0.00129,2.422e+17
2012-04-01,2012-04-30,4.018e+15,0.001401,2.522e+17
2012-05-01,2012-05-31,3.809e+15,0.001364,2.538e+17
2012-06-01,2012-06-30,3.94e+15,0.001437,2.586e+17
2012-07-01,2012-07-31,3.188e+15,0.001438,2.726e+17
2012-08-01,2012-08-31,4.558e+15,0.001524,2.83e+17
2012-09-01,2012-09-30,3.994e+15,0.001421,2.779e+17
2012-10-01,2012-10-31,4.891e+15,0.001393,2.66e+17
2012-11-01,2012-11-30,3.641e+15,0.001325,2.518e+17
2012-12-01,2012-12-31,4.477e+15,0.001338,2.467e+17
2013-01-01,2013-01-31,5.981e+15,0.001408,2.492e+17
2013-02-01,2013-02-28,4.186e+15,0.001388,2.447e+17
2013-03-01,2013-03-31,4.847e+15,0.001464,2.688e+17
2013-04-01,2013-04-30,3.906e+15,0.001401,2.614e+17
2013-05-01,2013-05-31,3.379e+15,0.001399,2.529e+17
2013-06-01,2013-06-30,2.544e+15,0.001433,2.652e+17
2013-07-01,2013-07-31,3.27e+15,0.001486,2.684e+17
2013-08-01,2013-08-31,3.645e+15,0.00154,2.774e+17
2013-09-01,2013-09-30,3.695e+15,0.001451,2.75e+17
2013-10-01,2013-10-31,3.203e+15,0.001349,2.876e+17
2013-11-01,2013-11-30,3.487e+15,0.001307,2.613e+17
2013-12-01,2013-12-31,3.445e+15,0.001424,2.362e+17
2014-01-01,2014-01-31,4.044e+15,0.0014,2.386e+17
2014-02-01,2014-02-28,2.586e+15,0.001285,2.422e+17
2014-03-01,2014-03-31,4e+15,0.001434,2.777e+17
2014-04-01,2014-04-30,3.429e+15,0.001426,2.56e+17
2014-05-01,2014-05-31,2.91e+15,0.001411,2.617e+17
2014-06-01,2014-06-30,2.519e+15,0.001436,2.638e+17
2014-07-01,2014-07-31,3.045e+15,0.001466,2.744e+17
2014-08-01,2014-08-31,3.767e+15,0.001528,2.883e+17
2014-09-01,2014-09-30,3.862e+15,0.001436,2.841e+17
2014-10-01,2014-10-31,4.037e+15,0.001377,2.748e+17
2014-11-01,2014-11-30,4.438e+15,0.001413,2.593e+17
2014-12-01,2014-12-31,4.242e+15,0.001287,2.447e+17
2015-01-01,2015-01-31,4.704e+15,0.00138,2.56e+17
2015-02-01,2015-02-28,5.787e+15,0.001466,2.775e+17
2015-03-01,2015-03-31,2.972e+15,0.001444,2.784e+17
2015-04-01,2015-04-30,4.216e+15,0.001419,2.653e+17
2015-05-01,2015-05-31,4.343e+15,0.001418,2.589e+17
2015-06-01,2015-06-30,3.019e+15,0.001493,2.667e+17
2015-07-01,2015-07-31,3.054e+15,0.001472,2.768e+17
2015-08-01,2015-08-31,3.876e+15,0.001531,2.841e+17
2015-09-01,2015-09-30,4.2e+15,0.001449,2.844e+17
2015-10-01,2015-10-31,4.164e+15,0.001403,2.72e+17
2015-11-01,2015-11-30,3.546e+15,0.001262,2.829e+17
2015-12-01,2015-12-31,4.357e+15,0.001353,2.607e+17
