SiteName,Shenandoah
ShortName,Shenandoah
SiteLongitude,-78.3500
SiteLatitude,38.5300
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.963e+15,0.00136,2.405e+17
2005-02-01,2005-02-28,6.081e+15,0.001341,2.329e+17
2005-03-01,2005-03-31,6.168e+15,0.001299,2.464e+17
2005-04-01,2005-04-30,6.423e+15,0.001326,2.329e+17
2005-05-01,2005-05-31,2.727e+15,0.001287,2.35e+17
2005-06-01,2005-06-30,2.356e+15,0.001378,2.356e+17
2005-07-01,2005-07-31,2.225e+15,0.001494,2.46e+17
2005-08-01,2005-08-31,2.098e+15,0.001447,2.544e+17
2005-09-01,2005-09-30,3.089e+15,0.001388,2.552e+17
2005-10-01,2005-10-31,4.939e+15,0.001303,2.645e+17
2005-11-01,2005-11-30,4.955e+15,0.001285,2.597e+17
2005-12-01,2005-12-31,8.235e+15,0.001329,2.467e+17
2006-01-01,2006-01-31,4.525e+15,0.001334,2.395e+17
2006-02-01,2006-02-28,6.106e+15,0.001409,2.358e+17
2006-03-01,2006-03-31,4.44e+15,0.001343,2.497e+17
2006-04-01,2006-04-30,4.746e+15,0.001411,2.473e+17
2006-05-01,2006-05-31,3.427e+15,0.001426,2.401e+17
2006-06-01,2006-06-30,2.532e+15,0.00145,2.394e+17
2006-07-01,2006-07-31,1.89e+15,0.001467,2.439e+17
2006-08-01,2006-08-31,2.497e+15,0.001482,2.533e+17
2006-09-01,2006-09-30,3.347e+15,0.001358,2.484e+17
2006-10-01,2006-10-31,4.477e+15,0.001356,2.595e+17
2006-11-01,2006-11-30,5.732e+15,0.001356,2.736e+17
2006-12-01,2006-12-31,6.805e+15,0.001274,2.57e+17
2007-01-01,2007-01-31,4.811e+15,0.001431,2.553e+17
2007-02-01,2007-02-28,5.795e+15,0.001335,2.47e+17
2007-03-01,2007-03-31,4.495e+15,0.001363,2.624e+17
2007-04-01,2007-04-30,3.647e+15,0.001358,2.42e+17
2007-05-01,2007-05-31,2.954e+15,0.001343,2.358e+17
2007-06-01,2007-06-30,2.208e+15,0.001383,2.395e+17
2007-07-01,2007-07-31,1.733e+15,0.001457,2.509e+17
2007-08-01,2007-08-31,2.592e+15,0.001446,2.56e+17
2007-09-01,2007-09-30,2.796e+15,0.001421,2.565e+17
2007-10-01,2007-10-31,4.716e+15,0.001397,2.62e+17
2007-11-01,2007-11-30,6.05e+15,0.00135,2.679e+17
2007-12-01,2007-12-31,5.153e+15,0.001274,2.517e+17
2008-01-01,2008-01-31,4.35e+15,0.001411,2.533e+17
2008-02-01,2008-02-29,4.968e+15,0.001422,2.496e+17
2008-03-01,2008-03-31,4.291e+15,0.001263,2.378e+17
2008-04-01,2008-04-30,3.834e+15,0.001326,2.374e+17
2008-05-01,2008-05-31,2.444e+15,0.001349,2.352e+17
2008-06-01,2008-06-30,2.203e+15,0.001444,2.387e+17
2008-07-01,2008-07-31,1.919e+15,0.001487,2.503e+17
2008-08-01,2008-08-31,1.949e+15,0.001489,2.562e+17
2008-09-01,2008-09-30,2.546e+15,0.001417,2.53e+17
2008-10-01,2008-10-31,3.605e+15,0.001332,2.574e+17
2008-11-01,2008-11-30,5.133e+15,0.001292,2.539e+17
2008-12-01,2008-12-31,5.481e+15,0.001328,2.513e+17
2009-01-01,2009-01-31,4.167e+15,0.001409,2.39e+17
2009-02-01,2009-02-28,3.965e+15,0.001362,2.375e+17
2009-03-01,2009-03-31,3.494e+15,0.001342,2.347e+17
2009-04-01,2009-04-30,2.928e+15,0.001447,2.434e+17
2009-05-01,2009-05-31,2.265e+15,0.00145,2.411e+17
2009-06-01,2009-06-30,2.383e+15,0.001442,2.409e+17
2009-07-01,2009-07-31,1.941e+15,0.00143,2.485e+17
2009-08-01,2009-08-31,2.58e+15,0.001554,2.57e+17
2009-09-01,2009-09-30,2.707e+15,0.001494,2.679e+17
2009-10-01,2009-10-31,2.211e+15,0.001335,2.527e+17
2009-11-01,2009-11-30,3.088e+15,0.001438,2.565e+17
2009-12-01,2009-12-31,4.062e+15,0.001352,2.49e+17
2010-01-01,2010-01-31,4.333e+15,0.001349,2.383e+17
2010-02-01,2010-02-28,3.769e+15,0.001361,2.513e+17
2010-03-01,2010-03-31,4.032e+15,0.001425,2.614e+17
2010-04-01,2010-04-30,3.128e+15,0.001445,2.606e+17
2010-05-01,2010-05-31,2.115e+15,0.001449,2.507e+17
2010-06-01,2010-06-30,2.631e+15,0.001471,2.466e+17
2010-07-01,2010-07-31,2.149e+15,0.001557,2.606e+17
2010-08-01,2010-08-31,2.45e+15,0.001576,2.634e+17
2010-09-01,2010-09-30,2.688e+15,0.001495,2.644e+17
2010-10-01,2010-10-31,3.524e+15,0.001342,2.519e+17
2010-11-01,2010-11-30,4.179e+15,0.001356,2.649e+17
2010-12-01,2010-12-31,4.831e+15,0.001396,2.362e+17
2011-01-01,2011-01-31,4.786e+15,0.001429,2.473e+17
2011-02-01,2011-02-28,3.457e+15,0.001613,2.46e+17
2011-03-01,2011-03-31,3.263e+15,0.001444,2.687e+17
2011-04-01,2011-04-30,3.35e+15,0.001392,2.562e+17
2011-05-01,2011-05-31,2.267e+15,0.001458,2.46e+17
2011-06-01,2011-06-30,1.865e+15,0.001564,2.442e+17
2011-07-01,2011-07-31,1.963e+15,0.001572,2.598e+17
2011-08-01,2011-08-31,2.729e+15,0.001718,2.694e+17
2011-09-01,2011-09-30,1.705e+15,0.001488,2.721e+17
2011-10-01,2011-10-31,3.486e+15,0.001456,2.785e+17
2011-11-01,2011-11-30,3.933e+15,0.001415,2.627e+17
2011-12-01,2011-12-31,4.572e+15,0.001419,2.457e+17
2012-01-01,2012-01-31,4.183e+15,0.001458,2.515e+17
2012-02-01,2012-02-29,2.879e+15,0.001317,2.522e+17
2012-03-01,2012-03-31,3.56e+15,0.00133,2.416e+17
2012-04-01,2012-04-30,3.797e+15,0.001413,2.499e+17
2012-05-01,2012-05-31,3.384e+15,0.001538,2.488e+17
2012-06-01,2012-06-30,2.116e+15,0.001647,2.532e+17
2012-07-01,2012-07-31,2.114e+15,0.001604,2.626e+17
2012-08-01,2012-08-31,2.6e+15,0.001545,2.738e+17
2012-09-01,2012-09-30,3.184e+15,0.001607,2.774e+17
2012-10-01,2012-10-31,3.533e+15,0.001459,2.597e+17
2012-11-01,2012-11-30,4.521e+15,0.001346,2.53e+17
2012-12-01,2012-12-31,4.86e+15,0.001445,2.576e+17
2013-01-01,2013-01-31,4.82e+15,0.001493,2.526e+17
2013-02-01,2013-02-28,3.557e+15,0.001436,2.353e+17
2013-03-01,2013-03-31,3.349e+15,0.001649,2.652e+17
2013-04-01,2013-04-30,3.851e+15,0.001546,2.661e+17
2013-05-01,2013-05-31,2.69e+15,0.00156,2.487e+17
2013-06-01,2013-06-30,2.083e+15,0.001563,2.619e+17
2013-07-01,2013-07-31,1.484e+15,0.001669,2.657e+17
2013-08-01,2013-08-31,2.551e+15,0.001598,2.764e+17
2013-09-01,2013-09-30,2.298e+15,0.001552,2.731e+17
2013-10-01,2013-10-31,3.676e+15,0.001392,2.613e+17
2013-11-01,2013-11-30,4.951e+15,0.001456,2.696e+17
2013-12-01,2013-12-31,3.772e+15,0.001581,2.582e+17
2014-01-01,2014-01-31,2.963e+15,0.001459,2.417e+17
2014-02-01,2014-02-28,3.59e+15,0.00148,2.453e+17
2014-03-01,2014-03-31,3.846e+15,0.001527,2.781e+17
2014-04-01,2014-04-30,2.56e+15,0.001567,2.553e+17
2014-05-01,2014-05-31,2.064e+15,0.001455,2.457e+17
2014-06-01,2014-06-30,2.278e+15,0.001509,2.529e+17
2014-07-01,2014-07-31,1.558e+15,0.001742,2.644e+17
2014-08-01,2014-08-31,2.541e+15,0.001641,2.827e+17
2014-09-01,2014-09-30,2.736e+15,0.001523,2.819e+17
2014-10-01,2014-10-31,3.964e+15,0.001428,2.703e+17
2014-11-01,2014-11-30,4.42e+15,0.001497,2.662e+17
2014-12-01,2014-12-31,4.209e+15,0.001485,2.463e+17
2015-01-01,2015-01-31,4.009e+15,0.001495,2.595e+17
2015-02-01,2015-02-28,3.643e+15,0.001725,2.864e+17
2015-03-01,2015-03-31,2.822e+15,0.001531,2.823e+17
2015-04-01,2015-04-30,3.568e+15,0.001479,2.598e+17
2015-05-01,2015-05-31,2.419e+15,0.001419,2.568e+17
2015-06-01,2015-06-30,2.189e+15,0.001596,2.597e+17
2015-07-01,2015-07-31,1.818e+15,0.00174,2.66e+17
2015-08-01,2015-08-31,2.552e+15,0.001691,2.736e+17
2015-09-01,2015-09-30,3.291e+15,0.001634,2.841e+17
2015-10-01,2015-10-31,4.27e+15,0.001528,2.697e+17
2015-11-01,2015-11-30,3.437e+15,0.001627,2.825e+17
2015-12-01,2015-12-31,4.246e+15,0.00151,2.635e+17
