SiteName,Yellowstone
ShortName,Yellowstone
SiteLongitude,-110.5000
SiteLatitude,44.6000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.246e+14,0.02192,2.407e+17
2005-02-01,2005-02-28,6.427e+13,0.03442,2.637e+17
2005-03-01,2005-03-31,1.342e+14,0.03208,2.577e+17
2005-04-01,2005-04-30,1.648e+14,0.03098,2.312e+17
2005-05-01,2005-05-31,1.865e+14,0.03391,2.244e+17
2005-06-01,2005-06-30,3.871e+14,0.01696,2.22e+17
2005-07-01,2005-07-31,3.419e+14,0.01916,2.325e+17
2005-08-01,2005-08-31,4.459e+14,0.04462,2.465e+17
2005-09-01,2005-09-30,4.343e+14,0.02966,2.541e+17
2005-10-01,2005-10-31,4.662e+14,0.09997,2.71e+17
2005-11-01,2005-11-30,2.822e+14,0.02149,2.722e+17
2005-12-01,2005-12-31,1.476e+14,0.04145,2.676e+17
2006-01-01,2006-01-31,2.088e+14,0.01844,2.569e+17
2006-02-01,2006-02-28,1.496e+14,0.01579,2.559e+17
2006-03-01,2006-03-31,1.517e+14,0.03827,2.564e+17
2006-04-01,2006-04-30,1.478e+14,0.025,2.436e+17
2006-05-01,2006-05-31,2.017e+14,0.03193,2.311e+17
2006-06-01,2006-06-30,3.844e+14,0.05745,2.305e+17
2006-07-01,2006-07-31,4.726e+14,0.01825,2.321e+17
2006-08-01,2006-08-31,5.925e+14,0.0212,2.487e+17
2006-09-01,2006-09-30,6.554e+14,0.03461,2.527e+17
2006-10-01,2006-10-31,3.875e+14,0.0262,2.718e+17
2006-11-01,2006-11-30,2.843e+14,0.03044,2.85e+17
2006-12-01,2006-12-31,1.744e+14,0.02177,2.678e+17
2007-01-01,2007-01-31,1.155e+14,0.02888,2.735e+17
2007-02-01,2007-02-28,1.404e+14,0.0357,2.678e+17
2007-03-01,2007-03-31,1.039e+14,0.02628,2.777e+17
2007-04-01,2007-04-30,1.581e+14,0.02617,2.477e+17
2007-05-01,2007-05-31,3.447e+14,0.03719,2.258e+17
2007-06-01,2007-06-30,4.343e+14,0.06084,2.284e+17
2007-07-01,2007-07-31,3.527e+14,0.05484,2.363e+17
2007-08-01,2007-08-31,5.925e+14,0.057,2.496e+17
2007-09-01,2007-09-30,4.843e+14,0.01852,2.582e+17
2007-10-01,2007-10-31,3.007e+14,0.02305,2.743e+17
2007-11-01,2007-11-30,2.215e+14,0.04173,2.676e+17
2007-12-01,2007-12-31,1.176e+14,0.02544,2.815e+17
2008-01-01,2008-01-31,1.265e+14,0.02556,2.716e+17
2008-02-01,2008-02-29,1.291e+14,0.03766,2.629e+17
2008-03-01,2008-03-31,1.505e+14,0.02065,2.532e+17
2008-04-01,2008-04-30,2.118e+14,0.03874,2.359e+17
2008-05-01,2008-05-31,1.662e+14,0.02826,2.278e+17
2008-06-01,2008-06-30,3.358e+14,0.02104,2.272e+17
2008-07-01,2008-07-31,3.304e+14,0.03215,2.383e+17
2008-08-01,2008-08-31,5.43e+14,0.01971,2.46e+17
2008-09-01,2008-09-30,6.004e+14,0.02149,2.518e+17
2008-10-01,2008-10-31,3.289e+14,0.01429,2.636e+17
2008-11-01,2008-11-30,3.03e+14,0.02082,2.729e+17
2008-12-01,2008-12-31,1.141e+14,0.2539,2.855e+17
2009-01-01,2009-01-31,9.147e+13,0.7988,2.42e+17
2009-02-01,2009-02-28,2.156e+14,0.01943,2.385e+17
2009-03-01,2009-03-31,1.554e+14,0.01741,2.4e+17
2009-04-01,2009-04-30,1.843e+14,0.03458,2.614e+17
2009-05-01,2009-05-31,2.704e+14,0.02134,2.354e+17
2009-06-01,2009-06-30,3.512e+14,0.01639,2.412e+17
2009-07-01,2009-07-31,4.084e+14,0.02238,2.406e+17
2009-08-01,2009-08-31,5.088e+14,0.02938,2.443e+17
2009-09-01,2009-09-30,8.547e+14,0.02119,2.559e+17
2009-10-01,2009-10-31,3.192e+14,0.0359,2.703e+17
