SiteName,Yosemite
ShortName,Yosemite
SiteLongitude,-119.5000
SiteLatitude,37.8300
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,2.489e+14,0.02655,2.482e+17
2005-02-01,2005-02-28,2.589e+14,0.02228,2.556e+17
2005-03-01,2005-03-31,2.12e+14,0.0276,2.529e+17
2005-04-01,2005-04-30,2.796e+14,0.01771,2.347e+17
2005-05-01,2005-05-31,2.607e+14,0.1599,2.297e+17
2005-06-01,2005-06-30,5.438e+14,0.02805,2.343e+17
2005-07-01,2005-07-31,4.868e+14,0.03061,2.45e+17
2005-08-01,2005-08-31,7.376e+14,0.05997,2.511e+17
2005-09-01,2005-09-30,6.718e+14,0.01396,2.56e+17
2005-10-01,2005-10-31,7.176e+14,0.01521,2.625e+17
2005-11-01,2005-11-30,4.655e+14,0.01911,2.591e+17
2005-12-01,2005-12-31,2.304e+14,0.1051,2.546e+17
2006-01-01,2006-01-31,2.344e+14,0.01619,2.444e+17
2006-02-01,2006-02-28,1.788e+14,0.04645,2.454e+17
2006-03-01,2006-03-31,2.511e+14,0.01739,2.475e+17
2006-04-01,2006-04-30,2.685e+14,0.0154,2.382e+17
2006-05-01,2006-05-31,4.082e+14,0.02419,2.348e+17
2006-06-01,2006-06-30,5.802e+14,0.04268,2.342e+17
2006-07-01,2006-07-31,5.991e+14,0.03657,2.422e+17
2006-08-01,2006-08-31,7.548e+14,0.07646,2.523e+17
2006-09-01,2006-09-30,6.029e+14,0.02578,2.515e+17
2006-10-01,2006-10-31,8.07e+14,0.1082,2.684e+17
2006-11-01,2006-11-30,3.774e+14,0.01413,2.708e+17
2006-12-01,2006-12-31,3.53e+14,0.03982,2.587e+17
2007-01-01,2007-01-31,2.433e+14,0.02145,2.655e+17
2007-02-01,2007-02-28,1.466e+14,0.03311,2.68e+17
2007-03-01,2007-03-31,2.852e+14,0.02601,2.695e+17
2007-04-01,2007-04-30,3.659e+14,0.01837,2.492e+17
2007-05-01,2007-05-31,4.621e+14,0.01699,2.325e+17
2007-06-01,2007-06-30,5.966e+14,0.05717,2.352e+17
2007-07-01,2007-07-31,6.442e+14,0.01749,2.464e+17
2007-08-01,2007-08-31,7.331e+14,0.326,2.562e+17
2007-09-01,2007-09-30,6.27e+14,0.03374,2.56e+17
2007-10-01,2007-10-31,6.844e+14,0.01735,2.66e+17
2007-11-01,2007-11-30,3.722e+14,0.03651,2.637e+17
2007-12-01,2007-12-31,3.229e+14,0.01741,2.624e+17
2008-01-01,2008-01-31,2.686e+14,0.02539,2.669e+17
2008-02-01,2008-02-29,3.277e+14,0.01751,2.562e+17
2008-03-01,2008-03-31,3.309e+14,0.02624,2.413e+17
2008-04-01,2008-04-30,3.764e+14,0.0179,2.351e+17
2008-05-01,2008-05-31,4.345e+14,0.02224,2.331e+17
2008-06-01,2008-06-30,6.043e+14,0.0085,2.367e+17
2008-07-01,2008-07-31,6.7e+14,0.01062,2.452e+17
2008-08-01,2008-08-31,8.153e+14,0.02142,2.529e+17
2008-09-01,2008-09-30,7.308e+14,0.0157,2.541e+17
2008-10-01,2008-10-31,8.22e+14,0.01811,2.56e+17
2008-11-01,2008-11-30,3.353e+14,0.008082,2.657e+17
2008-12-01,2008-12-31,2.991e+14,0.01466,2.782e+17
2009-01-01,2009-01-31,2.856e+14,0.02961,2.45e+17
2009-02-01,2009-02-28,1.767e+14,0.01059,2.43e+17
2009-03-01,2009-03-31,3.859e+14,0.01464,2.549e+17
2009-04-01,2009-04-30,4.811e+14,0.01043,2.508e+17
2009-05-01,2009-05-31,4.982e+14,0.01076,2.401e+17
2009-06-01,2009-06-30,6.574e+14,0.01026,2.426e+17
2009-07-01,2009-07-31,5.155e+14,0.02445,2.494e+17
2009-08-01,2009-08-31,7.401e+14,0.03314,2.596e+17
2009-09-01,2009-09-30,7.141e+14,0.01079,2.643e+17
2009-10-01,2009-10-31,7.525e+14,0.01267,2.628e+17
2009-11-01,2009-11-30,5.181e+14,0.008041,2.594e+17
2009-12-01,2009-12-31,4.37e+14,0.008987,2.339e+17
2010-01-01,2010-01-31,2.792e+14,0.147,2.358e+17
2010-02-01,2010-02-28,2.398e+14,0.01231,2.425e+17
2010-03-01,2010-03-31,3.635e+14,0.0115,2.63e+17
2010-04-01,2010-04-30,3.378e+14,0.03912,2.579e+17
2010-05-01,2010-05-31,2.39e+14,0.007516,2.469e+17
2010-06-01,2010-06-30,5.567e+14,0.01638,2.456e+17
2010-07-01,2010-07-31,5.85e+14,0.02066,2.612e+17
2010-08-01,2010-08-31,7.83e+14,0.1731,2.669e+17
2010-09-01,2010-09-30,5.922e+14,0.008886,2.655e+17
