SiteName,Zion
ShortName,Zion
SiteLongitude,-113.0500
SiteLatitude,37.3000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,9.045e+14,0.01067,2.498e+17
2005-02-01,2005-02-28,7.79e+14,0.006574,2.656e+17
2005-03-01,2005-03-31,7.262e+14,0.01655,2.499e+17
2005-04-01,2005-04-30,8.383e+14,0.01401,2.362e+17
2005-05-01,2005-05-31,6.265e+14,0.02168,2.336e+17
2005-06-01,2005-06-30,9.598e+14,0.01048,2.343e+17
2005-07-01,2005-07-31,8.09e+14,0.006146,2.471e+17
2005-08-01,2005-08-31,7.2e+14,0.007872,2.519e+17
2005-09-01,2005-09-30,9.214e+14,0.008673,2.54e+17
2005-10-01,2005-10-31,1.06e+15,0.008011,2.643e+17
2005-11-01,2005-11-30,1.142e+15,0.005438,2.552e+17
2005-12-01,2005-12-31,9.231e+14,0.01338,2.563e+17
2006-01-01,2006-01-31,8.889e+14,0.006344,2.467e+17
2006-02-01,2006-02-28,6.917e+14,0.01166,2.394e+17
2006-03-01,2006-03-31,6.668e+14,0.005623,2.447e+17
2006-04-01,2006-04-30,7.99e+14,0.009846,2.404e+17
2006-05-01,2006-05-31,8.238e+14,0.00872,2.353e+17
2006-06-01,2006-06-30,9.015e+14,0.009653,2.387e+17
2006-07-01,2006-07-31,9.409e+14,0.005428,2.437e+17
2006-08-01,2006-08-31,4.036e+14,0.01253,2.533e+17
2006-09-01,2006-09-30,9.014e+14,0.01523,2.496e+17
2006-10-01,2006-10-31,1.231e+15,0.01148,2.665e+17
2006-11-01,2006-11-30,8.218e+14,0.008811,2.707e+17
2006-12-01,2006-12-31,7.348e+14,0.01279,2.611e+17
2007-01-01,2007-01-31,1.048e+15,0.03457,2.603e+17
2007-02-01,2007-02-28,7.888e+14,0.01355,2.609e+17
2007-03-01,2007-03-31,8.513e+14,0.006766,2.678e+17
2007-04-01,2007-04-30,9.331e+14,0.009068,2.517e+17
2007-05-01,2007-05-31,7.389e+14,0.01161,2.34e+17
2007-06-01,2007-06-30,8.188e+14,0.01744,2.375e+17
2007-07-01,2007-07-31,1.143e+15,0.0248,2.487e+17
2007-08-01,2007-08-31,8.19e+14,0.006711,2.562e+17
2007-09-01,2007-09-30,1.021e+15,0.007484,2.585e+17
2007-10-01,2007-10-31,1.021e+15,0.03752,2.677e+17
2007-11-01,2007-11-30,8.792e+14,0.00911,2.671e+17
2007-12-01,2007-12-31,7.502e+14,0.01095,2.607e+17
2008-01-01,2008-01-31,6.18e+14,0.02298,2.661e+17
2008-02-01,2008-02-29,6.84e+14,0.06167,2.528e+17
2008-03-01,2008-03-31,7.956e+14,0.008914,2.365e+17
2008-04-01,2008-04-30,7.311e+14,0.007455,2.376e+17
2008-05-01,2008-05-31,6.619e+14,0.05502,2.357e+17
2008-06-01,2008-06-30,6.837e+14,0.008667,2.387e+17
2008-07-01,2008-07-31,7.191e+14,0.02932,2.509e+17
2008-08-01,2008-08-31,7.012e+14,0.02027,2.555e+17
2008-09-01,2008-09-30,8.289e+14,0.006785,2.575e+17
2008-10-01,2008-10-31,1.16e+15,0.006335,2.571e+17
2008-11-01,2008-11-30,7.999e+14,0.006459,2.672e+17
