NumberOfDays,43
Date,WindVelocity,WindDirection
2012-05-13,5.397965,-96.097894
2012-05-14,4.172207,-85.173305
2012-05-15,4.248288,3.383111
2012-05-16,7.326480,-93.660937
2012-05-17,3.309887,154.435353
2012-05-18,4.576917,122.560456
2012-05-19,6.338128,103.137094
2012-05-20,7.202321,36.428049
2012-05-21,9.047246,-67.037337
2012-05-22,6.393330,-109.887911
2012-05-23,5.322922,115.001661
2012-05-24,14.944426,95.889063
2012-05-25,6.109814,108.724123
2012-05-26,7.121468,85.626799
2012-05-27,6.169204,47.029094
2012-05-28,9.219847,45.991671
2012-05-29,5.066421,-55.094035
2012-05-30,2.214635,-49.186799
2012-05-31,11.371207,-92.765502
2012-06-01,8.686832,-22.103745
2012-06-02,5.847108,14.573649
2012-06-03,3.747002,85.612001
2012-06-04,3.729103,-133.841948
2012-06-05,4.701824,-127.185096
2012-06-06,4.601844,-140.847061
2012-06-07,1.605708,-100.021824
2012-06-08,4.108525,100.575212
2012-06-09,6.570796,90.423971
2012-06-10,8.460580,109.464286
2012-06-11,3.484673,13.840616
2012-06-12,8.387987,-72.558342
2012-06-13,2.190930,-133.860532
2012-06-14,4.533661,120.482530
2012-06-15,4.027928,115.871602
2012-06-16,5.229715,71.845120
2012-06-17,1.634012,-132.026099
2012-06-18,11.074919,83.894223
2012-06-19,10.007846,80.421478
2012-06-20,10.666542,76.580188
2012-06-21,4.710669,-69.742389
2012-06-22,3.942750,-89.051110
2012-06-23,4.225071,100.625959
2012-06-24,NaN,NaN
